Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-10-09,2.0,11796.0,117960.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-10,2.0,11796.0,117960.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-11,2.0,11796.0,117960.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-12,2.0,11796.0,117960.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-13,2.0,11796.0,117960.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-14,2.0,11796.0,117960.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-15,2.0,10000.0,101500.0,10.2,10.0,10.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-10-16,2.0,10000.0,101500.0,10.2,10.1,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-10-17,2.0,10000.0,101500.0,10.2,10.1,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-10-18,2.0,10000.0,101500.0,10.2,10.1,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-10-19,1.0,5000.0,51250.0,10.25,10.2,10.25,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-10-20,1.0,5000.0,52300.0,10.46,10.25,10.46,10.25,0.0,0.0,10.12583,0.0,0.0,0.0,0.0,100.0
2014-10-21,54.0,237796.0,2621819.46,11.23,10.46,11.23,10.46,0.0,0.0,10.29571,0.0,0.0,0.0,0.0,100.0
2014-10-22,24.0,77208.0,856916.0,11.25,11.0,11.11,11.23,10.275,10.275,10.42098,0.0,0.0,0.0,0.0,90.23706
2014-10-23,24.0,77208.0,856916.0,11.25,11.0,11.11,11.11,10.35429,10.38633,10.52698,0.0,0.0,0.0,0.0,90.23706
2014-10-24,24.0,77208.0,856916.0,11.25,11.0,11.11,11.11,10.43357,10.48282,10.61668,0.0,0.0,0.0,0.0,90.23706
2014-10-25,24.0,77208.0,856916.0,11.25,11.0,11.11,11.11,10.51286,10.56645,10.69257,0.0,0.0,0.0,0.0,90.23706
2014-10-26,7.0,23924.0,264703.32,11.15,11.0,11.15,11.11,10.595,10.64425,10.76295,0.0,0.0,0.0,0.0,90.60855
2014-10-27,9.0,45616.0,505806.8,11.15,11.0,11.0,11.15,10.66643,10.69169,10.79942,0.0,0.0,0.0,0.0,78.80192
2014-10-28,10.0,60616.0,655983.6,11.0,10.68,10.9,11.0,10.73071,10.71946,10.81489,0.0,0.0,0.0,0.0,72.215
2014-10-29,10.0,60616.0,655983.6,11.0,10.68,10.9,10.9,10.78071,10.74353,10.82799,0.0,0.0,0.0,0.0,72.215
2014-10-30,8.0,37399.0,410051.0,11.12,10.82,11.0,10.9,10.83786,10.77773,10.85445,0.0,0.0,0.0,0.0,74.5595
2014-10-31,8.0,37399.0,410051.0,11.12,10.82,11.0,11.0,10.895,10.80736,10.87684,0.0,0.0,0.0,0.0,74.5595
2014-11-01,8.0,37399.0,410051.0,11.12,10.82,11.0,11.0,10.95214,10.83305,10.89579,0.0,0.0,0.0,0.0,74.5595
2014-11-02,9.0,13500.0,149695.0,11.22,11.0,11.05,11.0,11.00929,10.86198,10.91951,0.0,0.0,0.0,0.0,75.74416
2014-11-03,1.0,5489.0,59500.76,11.05,10.84,10.84,11.05,11.03643,10.85905,10.90728,10.61615,0.29113,0.05823,0.2329,62.83968
2014-11-04,3.0,15000.0,157250.0,10.84,10.41,10.41,10.84,10.97786,10.79917,10.83078,10.60088,0.22989,0.09256,0.13733,45.99279
2014-11-05,2.0,3200.0,33760.0,10.6,10.41,10.6,10.41,10.94143,10.77262,10.79527,10.60082,0.19445,0.11294,0.08152,51.96724
2014-11-06,1.0,58918.0,612747.2,10.6,10.4,10.4,10.6,10.89071,10.72293,10.73446,10.58594,0.14852,0.12005,0.02846,46.30557
2014-11-07,1.0,58918.0,612747.2,10.4,10.4,10.4,10.4,10.84,10.67988,10.68301,10.57217,0.11084,0.11821,-0.00737,46.30557
2014-11-08,1.0,58918.0,612747.2,10.4,10.4,10.4,10.4,10.78929,10.64256,10.63947,10.55942,0.08005,0.11058,-0.03053,46.30557
2014-11-09,1.0,58918.0,612747.2,10.4,10.4,10.4,10.4,10.73571,10.61022,10.60263,10.54761,0.05502,0.09947,-0.04445,46.30557
2014-11-10,1.0,5000.0,53050.0,10.61,10.4,10.61,10.4,10.70786,10.61019,10.60376,10.55223,0.05153,0.08988,-0.03835,52.86021
2014-11-11,1.0,500.0,5410.0,10.82,10.61,10.82,10.61,10.70214,10.63816,10.63703,10.57206,0.06496,0.0849,-0.01993,58.21596
2014-11-12,22.0,136011.0,1482612.67,11.05,10.79,10.9,10.82,10.70214,10.67308,10.67748,10.59636,0.08113,0.08414,-0.00301,60.03231
2014-11-13,10.0,34534.0,376701.28,10.92,10.71,10.92,10.9,10.69643,10.706,10.71479,10.62033,0.09447,0.08621,0.00826,60.48324
2014-11-14,10.0,34534.0,376701.28,10.92,10.71,10.92,10.92,10.69071,10.73453,10.74636,10.64253,0.10384,0.08973,0.0141,60.48324
2014-11-15,10.0,34534.0,376701.28,10.92,10.71,10.92,10.92,10.685,10.75926,10.77308,10.66308,0.11,0.09379,0.01621,60.48324
2014-11-16,5.0,19098.0,204601.58,10.92,10.7,10.7,10.92,10.66,10.75136,10.76184,10.66582,0.09602,0.09423,0.00179,52.88542
2014-11-17,4.0,19000.0,197710.0,10.7,10.35,10.4,10.7,10.62857,10.70451,10.70617,10.64613,0.06004,0.0874,-0.02735,44.82336
2014-11-18,7.0,24898.0,252760.62,10.4,10.0,10.05,10.4,10.60286,10.61724,10.60522,10.60197,0.00325,0.07057,-0.06731,37.77003
2014-11-19,5.0,21200.0,217852.0,10.46,10.05,10.3,10.05,10.58143,10.57494,10.55826,10.5796,-0.02134,0.05219,-0.07352,44.33906
2014-11-20,6.0,14000.0,144200.0,10.3,10.3,10.3,10.3,10.57429,10.53829,10.51853,10.55889,-0.04036,0.03368,-0.07404,44.33906
2014-11-21,6.0,14000.0,144200.0,10.3,10.3,10.3,10.3,10.56714,10.50651,10.48491,10.53971,-0.0548,0.01598,-0.07078,44.33906
2014-11-22,6.0,14000.0,144200.0,10.3,10.3,10.3,10.3,10.56,10.47898,10.45646,10.52196,-0.06549,-0.00031,-0.06518,44.33906
2014-11-23,1.0,5000.0,52000.0,10.4,10.3,10.4,10.3,10.56,10.46845,10.44778,10.51292,-0.06515,-0.01328,-0.05187,47.05633
2014-11-24,1.0,5000.0,52000.0,10.4,10.4,10.4,10.4,10.545,10.45932,10.44043,10.50456,-0.06413,-0.02345,-0.04068,47.05633
2014-11-25,2.0,8000.0,83500.0,10.5,10.4,10.4,10.4,10.515,10.45141,10.43421,10.49681,-0.06261,-0.03128,-0.03132,47.05633
2014-11-26,2.0,8000.0,83500.0,10.5,10.4,10.4,10.4,10.47929,10.44456,10.42894,10.48964,-0.0607,-0.03716,-0.02353,47.05633
2014-11-27,2.0,8000.0,83500.0,10.5,10.4,10.4,10.4,10.44214,10.43862,10.42449,10.483,-0.05851,-0.04143,-0.01708,47.05633
2014-11-28,2.0,8000.0,83500.0,10.5,10.4,10.4,10.4,10.405,10.43347,10.42072,10.47685,-0.05613,-0.04437,-0.01176,47.05633
2014-11-29,2.0,8000.0,83500.0,10.5,10.4,10.4,10.4,10.36786,10.42901,10.41753,10.47116,-0.05362,-0.04622,-0.0074,47.05633
2014-11-30,1.0,2500.0,25475.0,10.4,10.19,10.19,10.4,10.33143,10.39714,10.38253,10.45033,-0.0678,-0.05054,-0.01726,41.12404
2014-12-01,2.0,35386.0,360937.2,10.2,10.19,10.2,10.19,10.31714,10.37085,10.35445,10.43179,-0.07734,-0.0559,-0.02144,41.49284
2014-12-02,11.0,61882.0,629819.44,10.45,10.12,10.45,10.2,10.34571,10.38141,10.36915,10.43314,-0.06399,-0.05752,-0.00647,49.75457
2014-12-03,11.0,69540.0,729603.73,10.66,10.24,10.56,10.45,10.36429,10.40522,10.39851,10.44254,-0.04403,-0.05482,0.01079,52.83176
2014-12-04,7.0,26193.0,273584.92,10.56,10.4,10.4,10.56,10.37143,10.40452,10.39874,10.43939,-0.04065,-0.05198,0.01134,48.31282
2014-12-05,7.0,26193.0,273584.92,10.5,10.4,10.4,10.4,10.37857,10.40392,10.39893,10.43647,-0.03753,-0.04909,0.01156,48.31282
2014-12-06,7.0,26193.0,273584.92,10.5,10.4,10.4,10.4,10.38571,10.4034,10.3991,10.43377,-0.03467,-0.04621,0.01154,48.31282
2014-12-07,2.0,4100.0,42230.0,10.4,10.3,10.3,10.4,10.37857,10.38961,10.38385,10.42386,-0.04001,-0.04497,0.00496,45.4972
2014-12-08,1.0,15489.0,159536.7,10.3,10.3,10.3,10.3,10.37143,10.37766,10.37095,10.41468,-0.04373,-0.04472,0.00099,45.4972
2014-12-09,12.0,24100.0,248380.0,10.45,10.3,10.45,10.3,10.375,10.38731,10.38311,10.4173,-0.03419,-0.04261,0.00843,50.28835
2014-12-10,2.0,9600.0,100224.0,10.45,10.44,10.44,10.45,10.37786,10.39433,10.39186,10.41898,-0.02712,-0.03951,0.0124,49.98079
2014-12-11,2.0,9600.0,100224.0,10.44,10.44,10.44,10.44,10.38071,10.40042,10.39927,10.42054,-0.02127,-0.03587,0.0146,49.98079
2014-12-12,2.0,9600.0,100224.0,10.44,10.44,10.44,10.44,10.38357,10.4057,10.40554,10.42198,-0.01644,-0.03198,0.01554,49.98079
2014-12-13,2.0,9600.0,100224.0,10.44,10.44,10.44,10.44,10.38643,10.41027,10.41084,10.42331,-0.01248,-0.02808,0.0156,49.98079
2014-12-14,2.0,7000.0,74410.0,10.65,10.44,10.65,10.44,10.41929,10.44224,10.44763,10.44011,0.00753,-0.02096,0.02849,56.73491
2014-12-15,2.0,7000.0,74410.0,10.65,10.58,10.65,10.65,10.45143,10.46994,10.47877,10.45565,0.02311,-0.01214,0.03526,56.73491
2014-12-16,2.0,7000.0,74410.0,10.65,10.58,10.65,10.65,10.46571,10.49395,10.50511,10.47005,0.03506,-0.0027,0.03776,56.73491
2014-12-17,4.0,10100.0,105650.0,10.65,10.4,10.4,10.65,10.45429,10.48142,10.48894,10.46486,0.02408,0.00265,0.02143,47.83361
2014-12-18,1.0,3600.0,37620.0,10.45,10.4,10.45,10.4,10.45786,10.47723,10.48295,10.46376,0.01919,0.00596,0.01323,49.49754
2014-12-19,1.0,3600.0,37620.0,10.45,10.45,10.45,10.45,10.46143,10.4736,10.47788,10.46274,0.01514,0.0078,0.00734,49.49754
2014-12-20,1.0,3600.0,37620.0,10.45,10.45,10.45,10.45,10.465,10.47045,10.47359,10.4618,0.01179,0.0086,0.0032,49.49754
2014-12-21,1.0,3600.0,37620.0,10.45,10.45,10.45,10.45,10.47571,10.46773,10.46996,10.46092,0.00904,0.00868,0.00035,49.49754
2014-12-22,1.0,3600.0,37620.0,10.45,10.45,10.45,10.45,10.48643,10.46536,10.46689,10.46011,0.00678,0.0083,-0.00153,49.49754
2014-12-23,5.0,21700.0,223510.0,10.45,10.3,10.3,10.45,10.47571,10.44331,10.44121,10.44825,-0.00704,0.00523,-0.01227,44.11046
2014-12-24,2.0,14295.0,148793.0,10.45,10.3,10.4,10.3,10.47286,10.43754,10.43487,10.44468,-0.00981,0.00223,-0.01203,48.06696
2014-12-25,2.0,14295.0,148793.0,10.45,10.4,10.4,10.4,10.47,10.43253,10.42951,10.44137,-0.01186,-0.00059,-0.01127,48.06696
2014-12-26,2.0,14295.0,148793.0,10.45,10.4,10.4,10.4,10.46714,10.4282,10.42497,10.43831,-0.01334,-0.00314,-0.0102,48.06696
2014-12-27,2.0,14295.0,148793.0,10.45,10.4,10.4,10.4,10.46429,10.42444,10.42113,10.43547,-0.01434,-0.00538,-0.00896,48.06696
2014-12-28,2.0,14295.0,148793.0,10.45,10.4,10.4,10.4,10.44643,10.42118,10.41788,10.43284,-0.01496,-0.0073,-0.00767,48.06696
