Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-21,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-15,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0,0.0
2010-05-16,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0
2010-05-17,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0
2010-05-18,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0
2010-05-19,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0
2010-05-20,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0
2010-05-21,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0
2010-05-22,1.0,8900.0,2047000.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,0.0,0.0,0.0,0.0
