Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-16,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-17,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-18,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-19,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-20,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-21,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-22,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-23,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-24,4.0,2330.0,276998.0,121.0,117.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-25,1.0,10.0,1230.0,123.0,121.0,123.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-26,5.0,50.0,6450.0,133.0,123.0,133.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-27,5.0,50.0,6450.0,133.0,125.0,133.0,133.0,0.0,0.0,123.16667,0.0,0.0,0.0,0.0,100.0
2010-05-28,5.0,50.0,6450.0,133.0,125.0,133.0,133.0,0.0,0.0,124.67949,0.0,0.0,0.0,0.0,100.0
2010-05-29,5.0,50.0,6450.0,133.0,125.0,133.0,133.0,124.57143,124.57143,125.95957,0.0,0.0,0.0,0.0,100.0
2010-05-30,5.0,50.0,6450.0,133.0,125.0,133.0,133.0,125.42857,125.69524,127.04271,0.0,0.0,0.0,0.0,100.0
2010-05-31,5.0,50.0,6450.0,133.0,125.0,133.0,133.0,126.28571,126.66921,127.95922,0.0,0.0,0.0,0.0,100.0
2010-06-01,5.0,50.0,6450.0,133.0,125.0,133.0,133.0,127.14286,127.51331,128.73472,0.0,0.0,0.0,0.0,100.0
2010-06-02,1.0,10.0,1350.0,135.0,133.0,135.0,133.0,128.14286,128.51154,129.69861,0.0,0.0,0.0,0.0,100.0
2010-06-03,2.0,20.0,2760.0,139.0,135.0,139.0,135.0,129.42857,129.91,131.12959,0.0,0.0,0.0,0.0,100.0
2010-06-04,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,130.71429,131.122,132.34043,0.0,0.0,0.0,0.0,100.0
2010-06-05,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,132.0,132.1724,133.36498,0.0,0.0,0.0,0.0,100.0
2010-06-06,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,133.28571,133.08275,134.2319,0.0,0.0,0.0,0.0,100.0
2010-06-07,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,134.57143,133.87171,134.96546,0.0,0.0,0.0,0.0,100.0
2010-06-08,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,135.71429,134.55548,135.58615,0.0,0.0,0.0,0.0,100.0
2010-06-09,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,136.14286,135.14809,136.11136,0.0,0.0,0.0,0.0,100.0
2010-06-10,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,136.57143,135.66168,136.55577,130.38462,6.17115,1.23423,4.93692,100.0
2010-06-11,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,137.0,136.10679,136.9318,131.02279,5.90901,2.16919,3.73982,100.0
2010-06-12,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,137.42857,136.49255,137.24999,131.6137,5.63629,2.86261,2.77368,100.0
2010-06-13,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,137.85714,136.82687,137.51922,132.16083,5.35839,3.36176,1.99663,100.0
2010-06-14,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,138.28571,137.11662,137.74703,132.66744,5.0796,3.70533,1.37427,100.0
2010-06-15,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,138.71429,137.36774,137.9398,133.13651,4.80328,3.92492,0.87836,100.0
2010-06-16,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,137.58538,138.1029,133.57085,4.53206,4.04635,0.48571,100.0
2010-06-17,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,137.77399,138.24092,133.97301,4.26791,4.09066,0.17725,100.0
2010-06-18,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,137.93746,138.3577,134.34538,4.01233,4.07499,-0.06267,100.0
2010-06-19,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.07913,138.45652,134.69016,3.76635,4.01327,-0.24691,100.0
2010-06-20,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.20191,138.54013,135.00941,3.53072,3.91676,-0.38604,100.0
2010-06-21,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.30833,138.61088,135.30501,3.30587,3.79458,-0.48871,100.0
2010-06-22,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.40055,138.67074,135.57871,3.09203,3.65407,-0.56204,100.0
2010-06-23,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.48048,138.7214,135.83214,2.88926,3.50111,-0.61185,100.0
2010-06-24,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.54975,138.76426,136.0668,2.69746,3.34038,-0.64292,100.0
2010-06-25,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.60978,138.80053,136.28407,2.51646,3.17559,-0.65914,100.0
2010-06-26,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.66181,138.83122,136.48525,2.34596,3.00967,-0.6637,100.0
2010-06-27,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.7069,138.85718,136.67153,2.18565,2.84487,-0.65921,100.0
2010-06-28,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.74598,138.87915,136.84401,2.03515,2.68292,-0.64778,100.0
2010-06-29,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.77985,138.89775,137.00371,1.89403,2.52514,-0.63111,100.0
2010-06-30,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.8092,138.91348,137.15158,1.76189,2.37249,-0.6106,100.0
2010-07-01,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.83464,138.92679,137.2885,1.63828,2.22565,-0.58737,100.0
2010-07-02,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.85669,138.93805,137.41528,1.52277,2.08508,-0.56231,100.0
2010-07-03,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.8758,138.94758,137.53267,1.41491,1.95104,-0.53613,100.0
2010-07-04,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.89236,138.95565,137.64136,1.31429,1.82369,-0.5094,100.0
2010-07-05,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.90671,138.96247,137.742,1.22047,1.70305,-0.48258,100.0
2010-07-06,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.91915,138.96824,137.83518,1.13306,1.58905,-0.45599,100.0
2010-07-07,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.92993,138.97313,137.92147,1.05166,1.48157,-0.42991,100.0
2010-07-08,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.93927,138.97726,138.00136,0.9759,1.38044,-0.40453,100.0
2010-07-09,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.94737,138.98076,138.07533,0.90543,1.28544,-0.38001,100.0
2010-07-10,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.95439,138.98372,138.14383,0.8399,1.19633,-0.35643,100.0
2010-07-11,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.96047,138.98623,138.20725,0.77898,1.11286,-0.33388,100.0
2010-07-12,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.96574,138.98834,138.26597,0.72238,1.03476,-0.31239,100.0
2010-07-13,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.97031,138.99014,138.32034,0.6698,0.96177,-0.29197,100.0
2010-07-14,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.97427,138.99166,138.37069,0.62097,0.89361,-0.27264,100.0
2010-07-15,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.9777,138.99294,138.4173,0.57564,0.83001,-0.25438,100.0
2010-07-16,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.98067,138.99403,138.46047,0.53356,0.77072,-0.23716,100.0
2010-07-17,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.98325,138.99494,138.50043,0.49451,0.71548,-0.22097,100.0
2010-07-18,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.98548,138.99572,138.53744,0.45829,0.66404,-0.20576,100.0
2010-07-19,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.98742,138.99638,138.5717,0.42468,0.61617,-0.19149,100.0
2010-07-20,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.9891,138.99694,138.60343,0.39351,0.57164,-0.17813,100.0
2010-07-21,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99055,138.99741,138.6328,0.36461,0.53023,-0.16563,100.0
2010-07-22,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99181,138.99781,138.66,0.33781,0.49175,-0.15394,100.0
2010-07-23,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.9929,138.99814,138.68519,0.31296,0.45599,-0.14303,100.0
2010-07-24,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99385,138.99843,138.70851,0.28992,0.42278,-0.13285,100.0
2010-07-25,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99467,138.99867,138.7301,0.26857,0.39194,-0.12336,100.0
2010-07-26,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99538,138.99888,138.75009,0.24878,0.36331,-0.11452,100.0
2010-07-27,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.996,138.99905,138.7686,0.23045,0.33673,-0.10629,100.0
2010-07-28,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99653,138.9992,138.78574,0.21345,0.31208,-0.09863,100.0
2010-07-29,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99699,138.99932,138.80161,0.1977,0.2892,-0.0915,100.0
2010-07-30,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99739,138.99942,138.81631,0.18311,0.26799,-0.08487,100.0
2010-07-31,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99774,138.99951,138.82992,0.1696,0.24831,-0.07871,100.0
2010-08-01,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99804,138.99959,138.84251,0.15707,0.23006,-0.07299,100.0
2010-08-02,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.9983,138.99965,138.85418,0.14547,0.21314,-0.06767,100.0
2010-08-03,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99853,138.9997,138.86498,0.13472,0.19746,-0.06274,100.0
2010-08-04,2.0,20.0,2760.0,139.0,137.0,139.0,139.0,139.0,138.99873,138.99975,138.87498,0.12477,0.18292,-0.05815,100.0
