Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-11-10,1.0,10.0,3000.0,300.0,300.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-11-11,11.0,268.0,86988.0,330.0,300.0,330.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-11-12,8.0,134.0,48092.0,363.0,330.0,363.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-11-13,10.0,100.0,39150.0,399.0,363.0,399.0,363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-11-14,10.0,100.0,39150.0,399.0,370.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-11-15,10.0,100.0,39150.0,399.0,370.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-11-16,25.0,339.0,137988.0,411.0,399.0,407.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-11-17,25.0,456.0,179878.0,408.0,386.0,386.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.21081
2014-11-18,11.0,110.0,41710.0,386.0,379.0,380.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.12942
2014-11-19,6.0,101.0,40090.0,406.0,380.0,400.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.31377
2014-11-20,11.0,164.0,68946.0,440.0,400.0,440.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.65883
2014-11-21,11.0,164.0,68946.0,440.0,400.0,440.0,440.0,0.0,0.0,386.91667,0.0,0.0,0.0,0.0,95.65883
2014-11-22,11.0,164.0,68946.0,440.0,400.0,440.0,440.0,0.0,0.0,395.08333,0.0,0.0,0.0,0.0,95.65883
2014-11-23,12.0,802.0,349014.0,452.0,427.0,430.0,440.0,393.78571,393.78571,400.45513,0.0,0.0,0.0,0.0,93.6629
2014-11-24,23.0,396.0,168709.0,435.0,420.0,426.0,430.0,402.78571,398.08095,404.38511,0.0,0.0,0.0,0.0,92.84922
2014-11-25,14.0,140.0,58420.0,428.0,412.0,428.0,426.0,409.78571,402.07016,408.01817,0.0,0.0,0.0,0.0,92.88169
2014-11-26,14.0,140.0,58420.0,428.0,412.0,428.0,428.0,414.42857,405.52747,411.0923,0.0,0.0,0.0,0.0,92.88169
2014-11-27,14.0,140.0,58420.0,428.0,412.0,428.0,428.0,416.5,408.52381,413.69348,0.0,0.0,0.0,0.0,92.88169
2014-11-28,14.0,140.0,58420.0,428.0,412.0,428.0,428.0,418.57143,411.12063,415.89448,0.0,0.0,0.0,0.0,92.88169
2014-11-29,14.0,140.0,58420.0,428.0,412.0,428.0,428.0,420.64286,413.37122,417.75687,0.0,0.0,0.0,0.0,92.88169
2014-11-30,18.0,234.0,103836.0,466.0,425.0,457.0,428.0,424.21429,419.18839,423.79428,0.0,0.0,0.0,0.0,93.43341
2014-12-01,20.0,216.0,96712.0,466.0,440.0,456.0,457.0,429.21429,424.0966,428.749,0.0,0.0,0.0,0.0,93.17194
2014-12-02,12.0,237.0,105632.0,465.0,429.0,437.0,456.0,433.28571,425.81706,430.01839,0.0,0.0,0.0,0.0,88.2453
2014-12-03,25.0,1358.0,578470.0,452.0,422.0,452.0,437.0,437.0,429.30811,433.40017,0.0,0.0,0.0,0.0,88.7389
2014-12-04,2.0,210.0,94320.0,452.0,449.0,449.0,452.0,437.64286,431.9337,435.80015,0.0,0.0,0.0,0.0,87.96322
2014-12-05,2.0,210.0,94320.0,452.0,449.0,449.0,449.0,438.28571,434.20921,437.83089,414.57692,23.25397,4.65079,18.60318,87.96322
2014-12-06,2.0,210.0,94320.0,452.0,449.0,449.0,449.0,438.92857,436.18131,439.54922,417.12678,22.42244,8.20512,14.21731,87.96322
2014-12-07,2.0,210.0,94320.0,452.0,449.0,449.0,449.0,440.28571,437.89047,441.00318,419.48776,21.51542,10.86718,10.64824,87.96322
2014-12-08,4.0,40.0,17230.0,449.0,419.0,419.0,449.0,439.78571,435.37174,437.61808,419.45163,18.16645,12.32704,5.83941,79.51483
2014-12-09,31.0,473.0,194094.0,419.0,407.0,415.0,419.0,438.85714,432.65551,434.13837,419.12188,15.0165,12.86493,2.15157,78.45984
2014-12-10,9.0,111.0,47180.0,427.0,415.0,427.0,415.0,438.78571,431.90144,433.04016,419.70544,13.33472,12.95889,0.37583,79.32396
2014-12-11,12.0,1180.0,512900.0,435.0,427.0,427.0,427.0,438.71429,431.24792,432.11091,420.24578,11.86513,12.74013,-0.87501,79.32396
2014-12-12,12.0,1180.0,512900.0,435.0,427.0,427.0,427.0,438.64286,430.68153,431.32461,420.74609,10.57852,12.30781,-1.72929,79.32396
2014-12-13,12.0,1180.0,512900.0,435.0,427.0,427.0,427.0,438.57143,430.19066,430.65929,421.20935,9.44994,11.73624,-2.2863,79.32396
2014-12-14,7.0,243.0,105305.0,435.0,427.0,427.0,427.0,436.42857,429.76524,430.09632,421.63828,8.45804,11.0806,-2.62256,79.32396
2014-12-15,7.0,243.0,105305.0,435.0,427.0,427.0,427.0,434.35714,429.39654,429.61996,422.03545,7.58452,10.38138,-2.79686,79.32396
2014-12-16,9.0,90.0,37710.0,427.0,419.0,419.0,427.0,433.07143,428.01033,427.98612,421.8106,6.17552,9.54021,-3.36469,76.57932
2014-12-17,14.0,143.0,58498.0,419.0,406.0,407.0,419.0,429.85714,425.20895,424.75749,420.71352,4.04397,8.44096,-4.39699,72.62176
2014-12-18,4.0,184.0,74648.0,407.0,405.0,405.0,407.0,426.71429,422.51443,421.71788,419.54955,2.16832,7.18643,-5.01811,71.97086
2014-12-19,4.0,184.0,74648.0,407.0,405.0,405.0,405.0,423.57143,420.17917,419.14589,418.47181,0.67409,5.88396,-5.20988,71.97086
