Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-18,1.0,234.0,43290.0,185.0,185.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-19,1.0,234.0,43290.0,185.0,185.0,185.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-20,2.0,437.0,83155.0,191.0,185.0,191.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-21,2.0,437.0,83155.0,191.0,188.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-22,2.0,437.0,83155.0,191.0,188.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-23,2.0,437.0,83155.0,191.0,188.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-24,2.0,437.0,83155.0,191.0,188.0,191.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-25,1.0,9362.0,1816228.0,194.0,191.0,194.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-26,1.0,9192.0,1810824.0,197.0,194.0,197.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-27,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-28,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-05-29,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,0.0,0.0,192.25,0.0,0.0,0.0,0.0,100.0
2010-05-30,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,0.0,0.0,192.98077,0.0,0.0,0.0,0.0,100.0
2010-05-31,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,192.92857,192.92857,193.59911,0.0,0.0,0.0,0.0,100.0
2010-06-01,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,193.78571,193.47143,194.12233,0.0,0.0,0.0,0.0,100.0
2010-06-02,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,194.64286,193.9419,194.56504,0.0,0.0,0.0,0.0,100.0
2010-06-03,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,195.07143,194.34965,194.93965,0.0,0.0,0.0,0.0,100.0
2010-06-04,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,195.5,194.70303,195.25663,0.0,0.0,0.0,0.0,100.0
2010-06-05,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,195.92857,195.00929,195.52484,0.0,0.0,0.0,0.0,100.0
2010-06-06,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,196.35714,195.27472,195.75179,0.0,0.0,0.0,0.0,100.0
2010-06-07,1.0,9192.0,1810824.0,197.0,197.0,197.0,197.0,196.78571,195.50476,195.94382,0.0,0.0,0.0,0.0,100.0
2010-06-08,3.0,4367.0,878166.0,205.0,197.0,205.0,197.0,197.57143,196.77079,197.33708,0.0,0.0,0.0,0.0,100.0
2010-06-09,1.0,1200.0,246000.0,205.0,205.0,205.0,205.0,198.14286,197.86802,198.51599,0.0,0.0,0.0,0.0,100.0
2010-06-10,1.0,200.0,43000.0,215.0,205.0,215.0,205.0,199.42857,200.15228,201.05199,0.0,0.0,0.0,0.0,100.0
2010-06-11,1.0,200.0,43000.0,215.0,215.0,215.0,215.0,200.71429,202.13198,203.19784,0.0,0.0,0.0,0.0,100.0
2010-06-12,1.0,200.0,43000.0,215.0,215.0,215.0,215.0,202.0,203.84771,205.01356,197.5,7.51356,1.50271,6.01084,100.0
2010-06-13,1.0,200.0,43000.0,215.0,215.0,215.0,215.0,203.28571,205.33469,206.54993,198.7963,7.75364,2.7529,5.00074,100.0
2010-06-14,7.0,4443.0,1045348.0,236.0,215.0,236.0,215.0,206.07143,209.42339,211.08071,201.55213,9.52859,4.10803,5.42055,100.0
2010-06-15,2.0,698.0,165162.0,237.0,236.0,237.0,236.0,208.92857,213.10028,215.06829,204.17789,10.8904,5.46451,5.42589,100.0
2010-06-16,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,211.78571,216.28691,218.4424,206.60916,11.83324,6.73825,5.09499,100.0
2010-06-17,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,214.64286,219.04865,221.29742,208.86033,12.43708,7.87802,4.55906,100.0
2010-06-18,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,217.5,221.44216,223.7132,210.94475,12.76845,8.8561,3.91234,100.0
2010-06-19,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,220.35714,223.51654,225.75732,212.87477,12.88255,9.66139,3.22116,100.0
2010-06-20,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,223.21429,225.31434,227.48697,214.66183,12.82514,10.29414,2.531,100.0
2010-06-21,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,226.07143,226.87243,228.95051,216.31651,12.634,10.76212,1.87189,100.0
2010-06-22,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,228.35714,228.22277,230.18889,217.84862,12.34028,11.07775,1.26253,100.0
2010-06-23,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,230.64286,229.39307,231.23676,219.26724,11.96952,11.2561,0.71342,100.0
2010-06-24,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,232.21429,230.40732,232.12341,220.58078,11.54263,11.31341,0.22923,100.0
2010-06-25,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,233.78571,231.28635,232.87365,221.79701,11.07664,11.26605,-0.18942,100.0
2010-06-26,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,235.35714,232.04817,233.50848,222.92316,10.58531,11.12991,-0.54459,100.0
2010-06-27,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,236.92857,232.70841,234.04563,223.96589,10.07974,10.91987,-0.84013,100.0
2010-06-28,2.0,698.0,165162.0,237.0,236.0,237.0,237.0,237.0,233.28062,234.50015,224.93138,9.56877,10.64965,-1.08088,100.0
2010-06-29,3.0,1100.0,260700.0,237.0,237.0,237.0,237.0,237.0,233.77654,234.88474,225.82535,9.05939,10.3316,-1.27221,100.0
2010-06-30,1.0,104.0,25064.0,241.0,237.0,241.0,237.0,237.28571,234.73967,235.82555,226.9494,8.87615,10.04051,-1.16436,100.0
2010-07-01,4.0,597.0,148150.0,250.0,241.0,250.0,241.0,238.21429,236.77438,238.00624,228.65685,9.34938,9.90229,-0.5529,100.0
2010-07-02,4.0,597.0,148150.0,250.0,245.0,250.0,250.0,239.14286,238.5378,239.85143,230.23783,9.61361,9.84455,-0.23094,100.0
2010-07-03,4.0,597.0,148150.0,250.0,245.0,250.0,250.0,240.07143,240.06609,241.41275,231.70169,9.71106,9.81785,-0.10679,100.0
2010-07-04,1.0,300.0,76500.0,255.0,250.0,255.0,250.0,241.35714,242.05728,243.5031,233.42749,10.0756,9.8694,0.2062,100.0
2010-07-05,5.0,975.0,244750.0,255.0,250.0,255.0,255.0,242.64286,243.78297,245.27185,235.02545,10.2464,9.9448,0.30159,100.0
2010-07-06,2.0,634.0,156330.0,255.0,245.0,245.0,255.0,243.21429,243.94524,245.23003,235.76431,9.46572,9.84898,-0.38327,73.93169
2010-07-07,4.0,1100.0,265500.0,245.0,241.0,245.0,245.0,243.78571,244.08588,245.19464,236.44844,8.7462,9.62843,-0.88222,73.93169
2010-07-08,2.0,200.0,49400.0,249.0,245.0,249.0,245.0,244.64286,244.74109,245.78008,237.37818,8.4019,9.38312,-0.98122,76.61954
2010-07-09,2.0,200.0,49400.0,249.0,245.0,249.0,249.0,245.5,245.30895,246.27545,238.23906,8.03639,9.11378,-1.07738,76.61954
2010-07-10,2.0,200.0,49400.0,249.0,245.0,249.0,249.0,246.35714,245.80109,246.69461,239.03616,7.65845,8.82271,-1.16426,76.61954
2010-07-11,5.0,4171.0,993023.0,249.0,229.0,229.0,249.0,245.78571,243.56094,243.97236,238.29274,5.67962,8.19409,-2.51447,47.98314
2010-07-12,1.0,175.0,40075.0,229.0,229.0,229.0,229.0,245.21429,241.61948,241.66892,237.60439,4.06453,7.36818,-3.30365,47.98314
2010-07-13,1.0,175.0,40075.0,229.0,229.0,229.0,229.0,244.64286,239.93689,239.71986,236.96703,2.75283,6.44511,-3.69228,47.98314
2010-07-14,1.0,175.0,40075.0,229.0,229.0,229.0,229.0,243.78571,238.47863,238.07065,236.37688,1.69377,5.49484,-3.80107,47.98314
