Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2014-01-22,1.0,10.0,3240.0,324.0,324.0,324.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-01-23,6.0,60.0,20660.0,356.0,324.0,356.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-01-24,6.0,60.0,20660.0,356.0,330.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-01-25,6.0,60.0,20660.0,356.0,330.0,356.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-01-26,1.0,10.0,3730.0,373.0,356.0,373.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-01-27,4.0,40.0,15620.0,401.0,373.0,401.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-01-28,7.0,252.0,109756.0,441.0,401.0,441.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-01-29,61.0,1380.0,666968.0,485.0,441.0,485.0,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-01-30,61.0,1380.0,666968.0,485.0,449.0,485.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-01-31,61.0,1380.0,666968.0,485.0,449.0,485.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-01,61.0,1380.0,666968.0,485.0,449.0,485.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2014-02-02,826.0,64607.0,34314932.0,533.0,485.0,533.0,485.0,0.0,0.0,423.33333,0.0,0.0,0.0,0.0,100.0
2014-02-03,1118.0,64378.0,33538028.0,543.0,495.0,500.0,533.0,0.0,0.0,435.12821,0.0,0.0,0.0,0.0,94.18346
2014-02-04,515.0,19086.0,9279880.0,500.0,452.0,494.0,500.0,433.85714,433.85714,444.1854,0.0,0.0,0.0,0.0,93.14911
2014-02-05,398.0,14465.0,7231475.0,503.0,494.0,501.0,494.0,446.5,442.80952,452.92611,0.0,0.0,0.0,0.0,93.24005
2014-02-06,249.0,12863.0,6478886.0,527.0,498.0,519.0,501.0,458.14286,452.96825,463.09133,0.0,0.0,0.0,0.0,93.47396
2014-02-07,249.0,12863.0,6478886.0,527.0,498.0,519.0,519.0,469.78571,461.77249,471.69266,0.0,0.0,0.0,0.0,93.47396
2014-02-08,249.0,12863.0,6478886.0,527.0,498.0,519.0,519.0,481.42857,469.40282,478.97071,0.0,0.0,0.0,0.0,93.47396
2014-02-09,368.0,17399.0,8873190.0,520.0,500.0,515.0,519.0,491.57143,475.48245,484.51368,0.0,0.0,0.0,0.0,92.64926
2014-02-10,171.0,11836.0,6169735.0,545.0,511.0,524.0,515.0,500.35714,481.95145,490.5885,0.0,0.0,0.0,0.0,92.79935
2014-02-11,195.0,21014.0,10790549.0,524.0,510.0,516.0,524.0,505.71429,486.49126,494.49796,0.0,0.0,0.0,0.0,91.06395
2014-02-12,261.0,8511.0,4318790.0,516.0,500.0,512.0,516.0,507.64286,489.89242,497.19058,0.0,0.0,0.0,0.0,90.17859
2014-02-13,371.0,9708.0,4952112.0,512.0,508.0,512.0,512.0,509.57143,492.8401,499.46895,0.0,0.0,0.0,0.0,90.17859
2014-02-14,371.0,9708.0,4952112.0,512.0,508.0,512.0,512.0,511.5,495.39475,501.39681,0.0,0.0,0.0,0.0,90.17859
2014-02-15,371.0,9708.0,4952112.0,512.0,508.0,512.0,512.0,513.42857,497.60879,503.02807,0.0,0.0,0.0,0.0,90.17859
2014-02-16,202.0,6069.0,3070731.0,512.0,502.0,505.0,512.0,511.42857,498.59428,503.33144,470.76923,32.56221,6.51244,26.04977,88.35141
2014-02-17,291.0,22549.0,11350710.0,512.0,500.0,506.0,505.0,511.85714,499.58171,503.74199,473.37892,30.36307,11.28257,19.0805,88.38671
2014-02-18,426.0,11226.0,5749845.0,524.0,505.0,515.0,506.0,513.35714,501.63748,505.47399,476.46196,29.01203,14.82846,14.18357,88.70999
2014-02-19,426.0,11226.0,5749845.0,524.0,505.0,515.0,515.0,514.35714,503.41915,506.93953,479.31663,27.6229,17.38735,10.23555,88.70999
2014-02-20,300.0,9012.0,4688680.0,530.0,514.0,530.0,515.0,515.14286,506.96327,510.4873,483.07095,27.41634,19.39315,8.02319,89.25937
2014-02-21,300.0,9012.0,4688680.0,530.0,514.0,530.0,530.0,515.92857,510.03483,513.48925,486.54718,26.94207,20.90293,6.03914,89.25937
2014-02-22,300.0,9012.0,4688680.0,530.0,514.0,530.0,530.0,516.71429,512.69685,516.02937,489.76591,26.26346,21.97504,4.28842,89.25937
2014-02-23,423.0,33835.0,18878495.0,583.0,530.0,580.0,530.0,521.35714,521.67061,525.871,496.44991,29.42109,23.46425,5.95684,90.95733
2014-02-24,211.0,23880.0,14245409.0,625.0,580.0,582.0,580.0,525.5,529.71452,534.50623,502.78696,31.71927,25.11525,6.60402,91.01698
2014-02-25,298.0,25759.0,14788833.0,593.0,560.0,593.0,582.0,531.0,538.15259,543.50527,509.4694,34.03587,26.89938,7.13649,91.34659
2014-02-26,268.0,14762.0,8612450.0,604.0,534.0,570.0,593.0,535.14286,542.39891,547.58138,513.95315,33.62823,28.24515,5.38309,84.53643
2014-02-27,268.0,14762.0,8612450.0,604.0,534.0,570.0,570.0,539.28571,546.07906,551.0304,518.10477,32.92563,29.18124,3.74439,84.53643
2014-02-28,268.0,14762.0,8612450.0,604.0,534.0,570.0,570.0,543.42857,549.26851,553.9488,521.94886,31.99994,29.74498,2.25496,84.53643
2014-03-01,268.0,14762.0,8612450.0,604.0,534.0,570.0,570.0,547.57143,552.03271,556.41822,525.50821,30.91001,29.97799,0.93202,84.53643
2014-03-02,268.0,14762.0,8612450.0,604.0,534.0,570.0,570.0,552.21429,554.42835,558.50772,528.80389,29.70383,29.92316,-0.21933,84.53643
2014-03-03,189.0,7794.0,4329743.0,570.0,546.0,555.0,570.0,555.71429,554.50457,557.96807,530.74435,27.22373,29.38327,-2.15954,79.59706
2014-03-04,243.0,18136.0,9753163.0,555.0,532.0,549.0,555.0,558.14286,553.77063,556.58837,532.09662,24.49175,28.40497,-3.91321,77.69052
2014-03-05,176.0,12657.0,7138103.0,582.0,535.0,560.0,549.0,561.35714,554.60121,557.11324,534.16353,22.9497,27.31391,-4.36421,78.67383
2014-03-06,376.0,27561.0,15482965.0,570.0,555.0,560.0,560.0,563.5,555.32105,557.55735,536.07735,21.48001,26.14713,-4.66713,78.67383
2014-03-07,376.0,27561.0,15482965.0,570.0,555.0,560.0,560.0,565.64286,555.94491,557.93314,537.84939,20.08375,24.93446,-4.85071,78.67383
2014-03-08,376.0,27561.0,15482965.0,570.0,555.0,560.0,560.0,567.78571,556.48559,558.25112,539.49018,18.76094,23.69975,-4.93881,78.67383
2014-03-09,232.0,15006.0,8274894.0,560.0,540.0,550.0,560.0,565.64286,555.62084,556.98172,540.26869,16.71303,22.30241,-5.58938,75.02004
2014-03-10,297.0,8932.0,4826451.0,550.0,530.0,549.0,550.0,563.28571,554.73806,555.75376,540.91545,14.83831,20.80959,-5.97128,74.65598
2014-03-11,277.0,10786.0,5831905.0,549.0,530.0,530.0,549.0,558.78571,551.43966,551.79165,540.1069,11.68475,18.98462,-7.29987,68.06628
2014-03-12,214.0,10038.0,5401923.0,545.0,525.0,540.0,530.0,556.64286,549.91437,549.97755,540.09898,9.87857,17.16341,-7.28484,69.55154
2014-03-13,271.0,9115.0,4935193.0,545.0,531.0,540.0,540.0,554.5,548.59245,548.44254,540.09165,8.35089,15.40091,-7.05002,69.55154
2014-03-14,271.0,9115.0,4935193.0,545.0,531.0,540.0,540.0,552.35714,547.44679,547.14369,540.08486,7.05883,13.73249,-6.67366,69.55154
2014-03-15,271.0,9115.0,4935193.0,545.0,531.0,540.0,540.0,550.21429,546.45389,546.04466,540.07857,5.96608,12.17921,-6.21312,69.55154
2014-03-16,271.0,9115.0,4935193.0,545.0,531.0,540.0,540.0,548.07143,545.59337,545.11471,540.07275,5.04196,10.75176,-5.7098,69.55154
2014-03-17,174.0,9794.0,5174799.0,540.0,515.0,525.0,540.0,545.92857,542.84759,542.02014,538.95625,3.06389,9.21418,-6.1503,63.86494
2014-03-18,166.0,5212.0,2690447.0,530.0,511.0,515.0,525.0,543.5,539.13457,537.8632,537.18172,0.68148,7.50764,-6.82616,60.40765
2014-03-19,180.0,4212.0,2206313.0,535.0,510.0,525.0,515.0,541.0,537.24996,535.88424,536.27937,-0.39512,5.92709,-6.32221,62.53709
2014-03-20,152.0,2766.0,1442475.0,532.0,515.0,532.0,525.0,539.0,536.54997,535.28667,535.96238,-0.67571,4.60653,-5.28224,63.96172
2014-03-21,152.0,2766.0,1442475.0,532.0,515.0,532.0,532.0,537.0,535.94331,534.78103,535.66887,-0.88784,3.50766,-4.3955,63.96172
2014-03-22,152.0,2766.0,1442475.0,532.0,515.0,532.0,532.0,535.0,535.41753,534.35318,535.3971,-1.04392,2.59734,-3.64126,63.96172
2014-03-23,147.0,10299.0,5491627.0,550.0,526.0,540.0,532.0,534.28571,536.02853,535.22192,535.73805,-0.51614,1.97464,-2.49078,65.68799
2014-03-24,165.0,10249.0,5655906.0,566.0,538.0,560.0,540.0,535.07143,539.22472,539.03393,537.53524,1.49869,1.87945,-0.38076,69.52049
2014-03-25,289.0,21974.0,12463350.0,580.0,547.0,570.0,560.0,537.92857,543.32809,543.79794,539.94003,3.85791,2.27515,1.58276,71.20881
2014-03-26,314.0,22124.0,12720203.0,589.0,560.0,584.0,570.0,541.07143,548.75102,549.98287,543.20373,6.77914,3.17594,3.60319,73.37665
2014-03-27,409.0,39017.0,23315657.0,605.0,580.0,604.0,584.0,545.64286,556.11755,558.2932,547.70716,10.58604,4.65796,5.92808,76.07842
2014-03-28,409.0,39017.0,23315657.0,605.0,580.0,604.0,604.0,550.21429,562.50187,565.32502,551.877,13.44801,6.41597,7.03204,76.07842
2014-03-29,409.0,39017.0,23315657.0,605.0,580.0,604.0,604.0,554.78571,568.03496,571.27501,555.73796,15.53705,8.24019,7.29686,76.07842
2014-03-30,409.0,39017.0,23315657.0,605.0,580.0,604.0,604.0,559.35714,572.8303,576.30963,559.31293,16.9967,9.99149,7.00521,76.07842
2014-03-31,458.0,19441.0,12044508.0,632.0,600.0,632.0,604.0,567.0,580.71959,584.87738,564.69716,20.18022,12.02924,8.15098,79.60113
2014-04-01,260.0,18629.0,12100531.0,665.0,626.0,660.0,632.0,577.35714,591.29031,596.4347,571.75663,24.67808,14.559,10.11907,82.33289
2014-04-02,250.0,35568.0,24276582.0,700.0,653.0,684.0,660.0,588.71429,603.6516,609.90629,580.07095,29.83534,17.61427,12.22107,84.23319
2014-04-03,227.0,18448.0,12551054.0,700.0,640.0,642.0,684.0,596.57143,608.76472,614.84378,584.65829,30.18549,20.12852,10.05698,70.3324
2014-04-04,227.0,18448.0,12551054.0,700.0,640.0,642.0,642.0,604.42857,613.19609,619.02166,588.90582,30.11584,22.12598,7.98986,70.3324
2014-04-05,227.0,18448.0,12551054.0,700.0,640.0,642.0,642.0,612.28571,617.03661,622.55679,592.83872,29.71807,23.6444,6.07367,70.3324
2014-04-06,154.0,10967.0,6987295.0,644.0,630.0,640.0,642.0,619.42857,620.0984,625.24036,596.33215,28.90821,24.69716,4.21105,69.69834
2014-04-07,112.0,10843.0,6942479.0,655.0,628.0,655.0,640.0,626.21429,624.75195,629.81877,600.67792,29.14085,25.5859,3.55495,71.70698
2014-04-08,112.0,10843.0,6942479.0,655.0,628.0,655.0,655.0,632.28571,628.78502,633.6928,604.70178,28.99103,26.26692,2.7241,71.70698
2014-04-09,134.0,7401.0,4897079.0,672.0,642.0,670.0,655.0,638.42857,634.28035,639.27853,609.53868,29.73984,26.96151,2.77834,73.63388
2014-04-10,82.0,5842.0,3917115.0,675.0,659.0,673.0,670.0,643.35714,639.44297,644.46644,614.23952,30.22692,27.61459,2.61233,74.00566
2014-04-11,82.0,5842.0,3917115.0,675.0,659.0,673.0,673.0,648.28571,643.91724,648.85622,618.59215,30.26407,28.14449,2.11959,74.00566
2014-04-12,82.0,5842.0,3917115.0,675.0,659.0,673.0,673.0,653.21429,647.79494,652.57065,622.62236,29.94829,28.50525,1.44304,74.00566
2014-04-13,126.0,15886.0,10742163.0,685.0,660.0,685.0,673.0,659.0,652.75562,657.55978,627.24293,30.31685,28.86757,1.44929,75.59886
2014-04-14,126.0,15886.0,10742163.0,685.0,660.0,685.0,685.0,662.78571,657.05487,661.78135,631.52123,30.26013,29.14608,1.11404,75.59886
2014-04-15,95.0,12285.0,8390821.0,690.0,665.0,685.0,685.0,664.57143,660.78089,665.35345,635.48262,29.87083,29.29103,0.5798,75.59886
