Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,7.0,90.0,27150.0,313.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,7.0,90.0,27150.0,313.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,7.0,90.0,27150.0,313.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,7.0,90.0,27150.0,313.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,10.0,2880.0,288.0,288.0,288.0,288.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,6.0,110.0,30000.0,288.0,260.0,260.0,288.0,286.0,286.0,283.69231,0.0,0.0,0.0,0.0,0.0
2010-04-29,24.0,380.0,102340.0,283.0,258.0,283.0,260.0,285.64286,285.6,283.5858,0.0,0.0,0.0,0.0,46.30872
2010-04-30,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,285.28571,285.25333,283.49568,0.0,0.0,0.0,0.0,46.30872
2010-05-01,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,284.92857,284.95289,283.41942,0.0,0.0,0.0,0.0,46.30872
2010-05-02,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,284.57143,284.6925,283.35489,0.0,0.0,0.0,0.0,46.30872
2010-05-03,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,284.21429,284.46684,283.30029,0.0,0.0,0.0,0.0,46.30872
2010-05-04,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,283.85714,284.27126,283.25409,0.0,0.0,0.0,0.0,46.30872
2010-05-05,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,283.5,284.10176,283.215,0.0,0.0,0.0,0.0,46.30872
2010-05-06,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,283.14286,283.95486,283.18193,0.0,0.0,0.0,0.0,46.30872
2010-05-07,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,282.78571,283.82754,283.15394,0.0,0.0,0.0,0.0,46.30872
2010-05-08,24.0,380.0,102340.0,283.0,258.0,283.0,283.0,282.42857,283.7172,283.13025,0.0,0.0,0.0,0.0,46.30872
2010-05-09,1.0,10.0,2880.0,288.0,283.0,288.0,283.0,282.42857,284.28824,283.87945,0.0,0.0,0.0,0.0,53.87279
2010-05-10,11.0,170.0,47510.0,288.0,268.0,288.0,288.0,282.42857,284.78314,284.51338,285.0,-0.48662,-0.09732,-0.3893,53.87279
2010-05-11,4.0,50.0,14750.0,298.0,288.0,298.0,288.0,283.14286,286.54539,286.58824,285.96296,0.62528,0.0472,0.57808,64.80563
2010-05-12,1.0,10.0,3030.0,303.0,298.0,303.0,298.0,286.21429,288.73934,289.11313,287.22497,1.88816,0.41539,1.47277,68.70034
2010-05-13,16.0,180.0,54900.0,315.0,303.0,315.0,303.0,288.5,292.24076,293.09572,289.28238,3.81335,1.09498,2.71837,75.52554
2010-05-14,16.0,180.0,54900.0,315.0,303.0,315.0,315.0,290.78571,295.27533,296.46561,291.18738,5.27823,1.93163,3.3466,75.52554
2010-05-15,16.0,180.0,54900.0,315.0,303.0,315.0,315.0,293.07143,297.90528,299.31706,292.95128,6.36577,2.81846,3.54732,75.52554
2010-05-16,1.0,10.0,3210.0,321.0,315.0,321.0,315.0,295.78571,300.98458,302.65289,295.02897,7.62393,3.77955,3.84438,78.26841
2010-05-17,1.0,10.0,3270.0,327.0,321.0,327.0,321.0,298.92857,304.4533,306.3986,297.39719,9.00141,4.82393,4.17749,80.55642
2010-05-18,1.0,10.0,3270.0,327.0,327.0,327.0,327.0,302.07143,307.45953,309.56805,299.58999,9.97806,5.85475,4.12331,80.55642
2010-05-19,1.0,10.0,3210.0,327.0,321.0,321.0,327.0,304.78571,309.26492,311.32681,301.17592,10.15089,6.71398,3.43691,72.17822
2010-05-20,21.0,850.0,264810.0,321.0,309.0,321.0,321.0,307.5,310.8296,312.81499,302.64437,10.17063,7.40531,2.76532,72.17822
2010-05-21,21.0,850.0,264810.0,321.0,309.0,321.0,321.0,310.21429,312.18565,314.07423,304.00404,10.07018,7.93828,2.1319,72.17822
2010-05-22,21.0,850.0,264810.0,321.0,309.0,321.0,321.0,312.92857,313.3609,315.13973,305.263,9.87672,8.32597,1.55075,72.17822
2010-05-23,1.0,20.0,6540.0,327.0,321.0,327.0,321.0,315.71429,315.17945,316.96439,306.87315,10.09123,8.67902,1.41221,75.30065
2010-05-24,1.0,20.0,6540.0,327.0,327.0,327.0,327.0,318.5,316.75552,318.50833,308.36403,10.1443,8.97208,1.17222,75.30065
2010-05-25,1.0,20.0,6540.0,327.0,327.0,327.0,327.0,320.57143,318.12145,319.81474,309.74447,10.07027,9.19172,0.87855,75.30065
