Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,1.0,30.0,21000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,1.0,30.0,21000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,1.0,30.0,21000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,1.0,30.0,21000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,1.0,30.0,21000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,1.0,30.0,21000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,2.0,150.0,105000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,2.0,150.0,105000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,2.0,150.0,105000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,2.0,150.0,105000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,2.0,150.0,105000.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,2.0,150.0,105000.0,700.0,700.0,700.0,700.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,2.0,150.0,105000.0,700.0,700.0,700.0,700.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,2.0,150.0,105000.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,2.0,30.0,21700.0,730.0,700.0,730.0,700.0,702.14286,704.0,704.61538,0.0,0.0,0.0,0.0,100.0
2010-04-30,2.0,30.0,21700.0,730.0,720.0,730.0,730.0,704.28571,707.46667,708.52071,0.0,0.0,0.0,0.0,100.0
2010-05-01,2.0,30.0,21700.0,730.0,720.0,730.0,730.0,706.42857,710.47111,711.82522,0.0,0.0,0.0,0.0,100.0
2010-05-02,2.0,30.0,21700.0,730.0,720.0,730.0,730.0,708.57143,713.07496,714.62134,0.0,0.0,0.0,0.0,100.0
2010-05-03,2.0,30.0,21700.0,730.0,720.0,730.0,730.0,710.71429,715.33163,716.98728,0.0,0.0,0.0,0.0,100.0
2010-05-04,2.0,30.0,21700.0,730.0,720.0,730.0,730.0,712.85714,717.28742,718.98924,0.0,0.0,0.0,0.0,100.0
2010-05-05,2.0,30.0,21700.0,730.0,720.0,730.0,730.0,715.0,718.98243,720.6832,0.0,0.0,0.0,0.0,100.0
2010-05-06,2.0,30.0,21700.0,730.0,720.0,730.0,730.0,717.14286,720.45144,722.11656,0.0,0.0,0.0,0.0,100.0
