Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-19,72.0,820.0,113160.0,138.0,138.0,138.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,30.0,860.0,119220.0,140.0,136.0,140.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2010-04-21,155.0,2600.0,362480.0,142.0,138.0,138.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.2381
2010-04-22,119.0,1300.0,181260.0,140.0,138.0,140.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46485
2010-04-23,119.0,1300.0,181260.0,140.0,138.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46485
2010-04-24,119.0,1300.0,181260.0,140.0,138.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46485
2010-04-25,216.0,2380.0,331220.0,140.0,138.0,138.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.47729
2010-04-26,14.0,840.0,112240.0,139.0,130.0,130.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.19644
2010-04-27,6.0,150.0,19460.0,130.0,128.0,128.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.84983
2010-04-28,9.0,90.0,11320.0,128.0,124.0,124.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.71959
2010-04-29,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.71959
2010-04-30,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,0.0,0.0,133.66667,0.0,0.0,0.0,0.0,64.71959
2010-05-01,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,0.0,0.0,132.17949,0.0,0.0,0.0,0.0,64.71959
2010-05-02,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,132.28571,132.28571,130.9211,0.0,0.0,0.0,0.0,64.71959
2010-05-03,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,131.28571,131.18095,129.85632,0.0,0.0,0.0,0.0,64.71959
2010-05-04,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,130.14286,130.22349,128.95535,0.0,0.0,0.0,0.0,64.71959
2010-05-05,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,129.14286,129.39369,128.19299,0.0,0.0,0.0,0.0,64.71959
2010-05-06,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,128.0,128.67453,127.54791,0.0,0.0,0.0,0.0,64.71959
2010-05-07,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,126.85714,128.05126,127.00208,0.0,0.0,0.0,0.0,64.71959
2010-05-08,9.0,90.0,11320.0,126.0,124.0,124.0,124.0,125.71429,127.51109,126.54022,0.0,0.0,0.0,0.0,64.71959
2010-05-09,19.0,190.0,23560.0,124.0,124.0,124.0,124.0,124.71429,127.04295,126.14942,0.0,0.0,0.0,0.0,64.71959
2010-05-10,58.0,1010.0,123220.0,124.0,122.0,122.0,124.0,124.14286,126.37056,125.51105,0.0,0.0,0.0,0.0,60.05384
2010-05-11,4.0,600.0,72800.0,122.0,120.0,122.0,122.0,123.71429,125.78781,124.97088,0.0,0.0,0.0,0.0,60.05384
2010-05-12,4.0,600.0,72800.0,122.0,120.0,122.0,122.0,123.57143,125.28277,124.51383,0.0,0.0,0.0,0.0,60.05384
2010-05-13,30.0,330.0,40840.0,124.0,122.0,122.0,122.0,123.42857,124.84507,124.12708,0.0,0.0,0.0,0.0,60.05384
2010-05-14,30.0,330.0,40840.0,124.0,122.0,122.0,122.0,123.28571,124.46573,123.79984,128.07692,-4.27708,-0.85542,-3.42167,60.05384
2010-05-15,30.0,330.0,40840.0,124.0,122.0,122.0,122.0,123.14286,124.13696,123.52294,127.62678,-4.10384,-1.5051,-2.59874,60.05384
2010-05-16,10.0,100.0,12400.0,124.0,122.0,124.0,122.0,123.14286,124.1187,123.59633,127.35813,-3.7618,-1.95644,-1.80536,63.57304
2010-05-17,1.0,10.0,1220.0,124.0,122.0,122.0,124.0,123.0,123.83621,123.35074,126.96123,-3.61049,-2.28725,-1.32324,58.19024
2010-05-18,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.85714,123.59138,123.14294,126.59373,-3.4508,-2.51996,-0.93084,58.19024
2010-05-19,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.71429,123.3792,122.9671,126.25346,-3.28636,-2.67324,-0.61312,58.19024
2010-05-20,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.57143,123.1953,122.81832,125.93839,-3.12007,-2.7626,-0.35746,58.19024
2010-05-21,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.42857,123.03593,122.69242,125.64665,-2.95423,-2.80093,-0.1533,58.19024
2010-05-22,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.28571,122.89781,122.5859,125.37653,-2.79064,-2.79887,0.00824,58.19024
2010-05-23,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.14286,122.7781,122.49576,125.12642,-2.63066,-2.76523,0.13457,58.19024
2010-05-24,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.14286,122.67435,122.41949,124.89483,-2.47534,-2.70725,0.23191,58.19024
2010-05-25,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.14286,122.58444,122.35495,124.6804,-2.32545,-2.63089,0.30544,58.19024
2010-05-26,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.14286,122.50651,122.30034,124.48185,-2.18151,-2.54101,0.35951,58.19024
2010-05-27,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.14286,122.43898,122.25414,124.29801,-2.04387,-2.44159,0.39771,58.19024
2010-05-28,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.14286,122.38045,122.21504,124.12779,-1.91275,-2.33582,0.42307,58.19024
2010-05-29,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.14286,122.32972,122.18196,123.97017,-1.78822,-2.2263,0.43808,58.19024
2010-05-30,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.0,122.28576,122.15396,123.82423,-1.67027,-2.11509,0.44482,58.19024
2010-05-31,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.0,122.24766,122.13028,123.68911,-1.55883,-2.00384,0.44501,58.19024
2010-06-01,1.0,10.0,1220.0,122.0,122.0,122.0,122.0,122.0,122.21464,122.11023,123.56399,-1.45375,-1.89382,0.44007,58.19024
2010-06-02,23.0,410.0,49910.0,124.0,120.0,124.0,122.0,122.14286,122.45268,122.40097,123.59628,-1.19532,-1.75412,0.5588,64.71234
2010-06-03,23.0,410.0,49910.0,124.0,120.0,124.0,124.0,122.28571,122.65899,122.64697,123.62619,-0.97922,-1.59914,0.61992,64.71234
2010-06-04,23.0,410.0,49910.0,124.0,120.0,124.0,124.0,122.42857,122.83779,122.85513,123.65388,-0.79875,-1.43906,0.64031,64.71234
2010-06-05,23.0,410.0,49910.0,124.0,120.0,124.0,124.0,122.57143,122.99276,123.03126,123.67952,-0.64825,-1.2809,0.63265,64.71234
2010-06-06,23.0,410.0,49910.0,124.0,120.0,124.0,124.0,122.71429,123.12705,123.1803,123.70326,-0.52296,-1.12931,0.60636,64.71234
2010-06-07,23.0,410.0,49910.0,124.0,120.0,124.0,124.0,122.85714,123.24345,123.30641,123.72524,-0.41883,-0.98722,0.56839,64.71234
2010-06-08,3.0,30.0,3800.0,128.0,124.0,128.0,124.0,123.28571,123.87765,124.0285,124.04189,-0.01339,-0.79245,0.77906,75.11615
2010-06-09,4.0,40.0,5200.0,130.0,128.0,130.0,128.0,123.85714,124.69397,124.94719,124.48323,0.46396,-0.54117,1.00513,78.45154
2010-06-10,1.0,20.0,2600.0,130.0,130.0,130.0,130.0,124.42857,125.40144,125.72455,124.89188,0.83267,-0.2664,1.09907,78.45154
2010-06-11,1.0,20.0,2600.0,130.0,130.0,130.0,130.0,125.0,126.01458,126.38231,125.27026,1.11205,0.00929,1.10276,78.45154
2010-06-12,1.0,20.0,2600.0,130.0,130.0,130.0,130.0,125.57143,126.54597,126.93888,125.62061,1.31827,0.27109,1.04718,78.45154
2010-06-13,1.0,20.0,2600.0,130.0,130.0,130.0,130.0,126.14286,127.00651,127.40982,125.94501,1.46481,0.50983,0.95498,78.45154
2010-06-14,1.0,20.0,2600.0,130.0,130.0,130.0,130.0,126.71429,127.40564,127.80831,126.24538,1.56293,0.72045,0.84248,78.45154
2010-06-15,1.0,10.0,1320.0,132.0,130.0,132.0,130.0,127.42857,128.01822,128.45318,126.67165,1.78154,0.93267,0.84887,81.73277
2010-06-16,26.0,310.0,43900.0,144.0,132.0,144.0,132.0,128.85714,130.14912,130.845,127.95523,2.88977,1.32409,1.56568,90.67672
2010-06-17,26.0,310.0,43900.0,144.0,134.0,144.0,144.0,130.28571,131.99591,132.86885,129.14373,3.72512,1.80429,1.92082,90.67672
2010-06-18,26.0,310.0,43900.0,144.0,134.0,144.0,144.0,131.71429,133.59645,134.58133,130.24419,4.33714,2.31086,2.02627,90.67672
2010-06-19,26.0,310.0,43900.0,144.0,134.0,144.0,144.0,133.14286,134.98359,136.03036,131.26314,4.76722,2.80213,1.96508,90.67672
2010-06-20,3.0,40.0,5680.0,144.0,142.0,142.0,144.0,134.42857,135.91911,136.94876,132.05847,4.8903,3.21977,1.67053,82.49422
2010-06-21,2.0,70.0,9800.0,142.0,140.0,140.0,142.0,135.57143,136.46323,137.41819,132.64673,4.77146,3.53011,1.24135,75.35438
2010-06-22,2.0,70.0,9800.0,140.0,140.0,140.0,140.0,136.42857,136.9348,137.81539,133.19141,4.62397,3.74888,0.87509,75.35438
2010-06-23,2.0,70.0,9800.0,140.0,140.0,140.0,140.0,137.14286,137.34349,138.15148,133.69575,4.45573,3.89025,0.56548,75.35438
2010-06-24,10.0,200.0,28000.0,140.0,140.0,140.0,140.0,137.85714,137.6977,138.43587,134.16274,4.27313,3.96683,0.30631,75.35438
2010-06-25,10.0,200.0,28000.0,140.0,140.0,140.0,140.0,138.57143,138.00467,138.6765,134.59513,4.08138,3.98974,0.09164,75.35438
2010-06-26,10.0,200.0,28000.0,140.0,140.0,140.0,140.0,139.28571,138.27071,138.88012,134.99549,3.88463,3.96872,-0.08408,75.35438
2010-06-27,10.0,200.0,28000.0,140.0,140.0,140.0,140.0,140.0,138.50128,139.05241,135.36619,3.68622,3.91222,-0.226,75.35438
2010-06-28,2.0,60.0,8280.0,140.0,138.0,138.0,140.0,140.57143,138.43445,138.8905,135.56129,3.32921,3.79562,-0.4664,67.17371
2010-06-29,14.0,180.0,25360.0,142.0,138.0,142.0,138.0,141.28571,138.90985,139.36888,136.03823,3.33065,3.70262,-0.37197,73.26809
2010-06-30,16.0,280.0,39200.0,142.0,140.0,140.0,142.0,141.0,139.05521,139.46598,136.33169,3.13429,3.58896,-0.45467,66.76096
2010-07-01,12.0,240.0,33600.0,140.0,140.0,140.0,140.0,140.71429,139.18118,139.54814,136.60342,2.94472,3.46011,-0.51539,66.76096
2010-07-02,12.0,240.0,33600.0,140.0,140.0,140.0,140.0,140.42857,139.29036,139.61765,136.85502,2.76263,3.32061,-0.55798,66.76096
2010-07-03,12.0,240.0,33600.0,140.0,140.0,140.0,140.0,140.14286,139.38497,139.67648,137.08798,2.5885,3.17419,-0.58569,66.76096
