Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-09-08,2.0,1000.0,140000.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-09,2.0,1000.0,140000.0,140.0,140.0,140.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-10,2.0,250.0,34200.0,140.0,136.0,136.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-11,2.0,250.0,34200.0,138.0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-12,2.0,250.0,34200.0,138.0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-13,2.0,250.0,34200.0,138.0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-14,2.0,250.0,34200.0,138.0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-15,2.0,250.0,34200.0,138.0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-16,2.0,250.0,34200.0,138.0,136.0,136.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-17,3.0,710.0,94020.0,136.0,132.0,132.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-18,3.0,710.0,94020.0,134.0,132.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-19,3.0,2500.0,325000.0,132.0,130.0,130.0,132.0,0.0,0.0,135.5,0.0,0.0,0.0,0.0,0.0
2013-09-20,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,0.0,0.0,134.65385,0.0,0.0,0.0,0.0,0.0
2013-09-21,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,134.71429,134.71429,133.93787,0.0,0.0,0.0,0.0,0.0
2013-09-22,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,134.0,134.08571,133.33204,0.0,0.0,0.0,0.0,0.0
2013-09-23,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,133.28571,133.54095,132.81942,0.0,0.0,0.0,0.0,0.0
2013-09-24,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,132.85714,133.06883,132.38566,0.0,0.0,0.0,0.0,0.0
2013-09-25,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,132.42857,132.65965,132.01864,0.0,0.0,0.0,0.0,0.0
2013-09-26,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,132.0,132.30503,131.70808,0.0,0.0,0.0,0.0,0.0
2013-09-27,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,131.57143,131.99769,131.4453,0.0,0.0,0.0,0.0,0.0
2013-09-28,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,131.14286,131.73133,131.22294,0.0,0.0,0.0,0.0,0.0
2013-09-29,3.0,2500.0,325000.0,130.0,130.0,130.0,130.0,130.71429,131.50049,131.0348,0.0,0.0,0.0,0.0,0.0
