Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-10-08,23.0,2783.0,1681457.0,605.0,550.0,605.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-09,359.0,16506.0,10708790.0,665.0,605.0,665.0,605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-10,399.0,23565.0,16050701.0,718.0,652.0,690.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-11,399.0,23565.0,16050701.0,718.0,652.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-12,399.0,23565.0,16050701.0,718.0,652.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-13,399.0,23565.0,16050701.0,718.0,652.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-14,399.0,23565.0,16050701.0,718.0,652.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-15,399.0,23565.0,16050701.0,718.0,652.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-16,399.0,23565.0,16050701.0,718.0,652.0,690.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-10-17,60.0,2986.0,2032869.0,693.0,677.0,686.0,690.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.54264
2013-10-18,60.0,2986.0,2032869.0,693.0,677.0,686.0,686.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.54264
2013-10-19,60.0,2986.0,2032869.0,693.0,677.0,686.0,686.0,0.0,0.0,679.83333,0.0,0.0,0.0,0.0,99.54264
2013-10-20,61.0,1943.0,1322219.0,695.0,652.0,660.0,686.0,0.0,0.0,676.78205,0.0,0.0,0.0,0.0,96.23092
2013-10-21,151.0,10997.0,7288319.0,673.0,650.0,670.0,660.0,677.71429,677.71429,675.73866,0.0,0.0,0.0,0.0,96.28089
2013-10-22,231.0,6847.0,4596247.0,674.0,660.0,674.0,670.0,682.64286,677.21905,675.47117,0.0,0.0,0.0,0.0,96.30148
2013-10-23,263.0,14041.0,9469981.0,682.0,670.0,680.0,674.0,683.71429,677.58984,676.16792,0.0,0.0,0.0,0.0,96.33346
2013-10-24,206.0,11302.0,7837303.0,700.0,676.0,699.0,680.0,684.35714,680.44453,679.68054,0.0,0.0,0.0,0.0,96.43592
2013-10-25,206.0,11302.0,7837303.0,700.0,676.0,699.0,699.0,685.0,682.91859,682.65277,0.0,0.0,0.0,0.0,96.43592
2013-10-26,206.0,11302.0,7837303.0,700.0,676.0,699.0,699.0,685.64286,685.06278,685.16773,0.0,0.0,0.0,0.0,96.43592
2013-10-27,185.0,12862.0,8775962.0,710.0,675.0,690.0,699.0,685.64286,685.72108,685.91115,0.0,0.0,0.0,0.0,94.9805
2013-10-28,100.0,4891.0,3373032.0,695.0,668.0,691.0,690.0,685.71429,686.42493,686.69405,0.0,0.0,0.0,0.0,94.98933
2013-10-29,173.0,3268.0,2238755.0,695.0,675.0,688.0,691.0,685.57143,686.63494,686.89497,0.0,0.0,0.0,0.0,94.46631
2013-10-30,234.0,4868.0,3369810.0,696.0,688.0,693.0,688.0,685.78571,687.48362,687.8342,0.0,0.0,0.0,0.0,94.51912
2013-10-31,215.0,11043.0,7643491.0,698.0,688.0,691.0,693.0,686.14286,687.95247,688.32125,0.0,0.0,0.0,0.0,94.14177
2013-11-01,215.0,11043.0,7643491.0,698.0,688.0,691.0,691.0,686.5,688.3588,688.73336,0.0,0.0,0.0,0.0,94.14177
