Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-06-19,5.0,50.0,7650.0,153.0,153.0,153.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-20,6.0,314.0,52452.0,168.0,153.0,168.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-06-21,6.0,314.0,52452.0,168.0,156.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-06-22,6.0,314.0,52452.0,168.0,156.0,168.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-06-23,45.0,1886.0,346462.0,184.0,168.0,184.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-06-24,41.0,1552.0,312450.0,202.0,184.0,202.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-06-25,73.0,2375.0,500355.0,222.0,192.0,212.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-06-26,1.0,10.0,2220.0,222.0,212.0,222.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2013-06-27,35.0,1314.0,263636.0,222.0,200.0,200.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.49585
2013-06-28,35.0,1314.0,263636.0,218.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.49585
2013-06-29,35.0,1314.0,263636.0,218.0,200.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.49585
2013-06-30,26.0,438.0,83121.0,200.0,182.0,182.0,200.0,0.0,0.0,188.25,0.0,0.0,0.0,0.0,86.35792
2013-07-01,3.0,275.0,49476.0,182.0,179.0,180.0,182.0,0.0,0.0,186.98077,0.0,0.0,0.0,0.0,85.69449
2013-07-02,7.0,212.0,39291.0,189.0,180.0,185.0,180.0,187.42857,187.42857,186.67604,0.0,0.0,0.0,0.0,85.97727
2013-07-03,10.0,195.0,35420.0,186.0,180.0,186.0,185.0,189.78571,187.2381,186.57203,0.0,0.0,0.0,0.0,86.03524
2013-07-04,9.0,356.0,65550.0,186.0,183.0,186.0,186.0,191.07143,187.07302,186.48403,0.0,0.0,0.0,0.0,86.03524
2013-07-05,9.0,356.0,65550.0,186.0,183.0,186.0,186.0,192.35714,186.92995,186.40956,0.0,0.0,0.0,0.0,86.03524
2013-07-06,9.0,356.0,65550.0,186.0,183.0,186.0,186.0,193.64286,186.80595,186.34655,0.0,0.0,0.0,0.0,86.03524
2013-07-07,19.0,477.0,95995.0,204.0,186.0,204.0,186.0,195.07143,189.09849,189.06247,0.0,0.0,0.0,0.0,87.19358
2013-07-08,13.0,247.0,50260.0,208.0,200.0,204.0,204.0,195.21429,191.08536,191.36055,0.0,0.0,0.0,0.0,87.19358
2013-07-09,11.0,441.0,92008.0,212.0,204.0,212.0,204.0,195.21429,193.87398,194.53585,0.0,0.0,0.0,0.0,87.69375
2013-07-10,19.0,505.0,107396.0,215.0,210.0,212.0,212.0,194.5,196.29078,197.22264,0.0,0.0,0.0,0.0,87.69375
2013-07-11,25.0,887.0,197564.0,233.0,208.0,233.0,212.0,196.85714,201.18534,202.72685,0.0,0.0,0.0,0.0,88.94349
2013-07-12,25.0,887.0,197564.0,233.0,208.0,233.0,233.0,199.21429,205.4273,207.38426,0.0,0.0,0.0,0.0,88.94349
2013-07-13,25.0,887.0,197564.0,233.0,208.0,233.0,233.0,201.57143,209.10366,211.32514,0.0,0.0,0.0,0.0,88.94349
2013-07-14,9.0,404.0,94277.0,236.0,232.0,232.0,233.0,205.14286,212.1565,214.50589,197.34615,17.15973,3.43195,13.72779,88.44835
2013-07-15,15.0,386.0,92124.0,244.0,232.0,239.0,232.0,209.35714,215.73564,218.27421,200.43162,17.84259,6.31408,11.52851,88.90243
2013-07-16,12.0,666.0,160519.0,247.0,235.0,247.0,239.0,213.78571,219.90422,222.69357,203.88113,18.81243,8.81375,9.99869,89.40232
2013-07-17,41.0,1245.0,324523.0,268.0,247.0,268.0,247.0,219.64286,226.31699,229.66379,208.63068,21.03311,11.25762,9.77549,90.57278
2013-07-18,41.0,1245.0,324523.0,268.0,249.0,268.0,268.0,225.5,231.87472,235.56167,213.02841,22.53326,13.51275,9.02051,90.57278
2013-07-19,41.0,1245.0,324523.0,268.0,249.0,268.0,268.0,231.35714,236.69143,240.55218,217.10038,23.4518,15.50056,7.95124,90.57278
2013-07-20,41.0,1245.0,324523.0,268.0,249.0,268.0,268.0,237.21429,240.8659,244.77492,220.87072,23.9042,17.18129,6.72291,90.57278
2013-07-21,11.0,188.0,50122.0,280.0,250.0,280.0,268.0,242.64286,246.08378,250.19416,225.25067,24.9435,18.73373,6.20977,91.24444
2013-07-22,45.0,743.0,204951.0,285.0,270.0,285.0,280.0,248.42857,251.27261,255.54891,229.67654,25.87236,20.16146,5.71091,91.5091
2013-07-23,10.0,192.0,55709.0,300.0,285.0,300.0,285.0,254.71429,257.7696,262.38754,234.88569,27.50185,21.62953,5.87231,92.2473
2013-07-24,5.0,118.0,34292.0,300.0,290.0,290.0,300.0,260.28571,262.06698,266.63561,238.96823,27.66738,22.8371,4.83028,86.95535
2013-07-25,9.0,584.0,170894.0,300.0,290.0,295.0,290.0,264.71429,266.45805,270.99936,243.11873,27.88063,23.84581,4.03482,87.33674
2013-07-26,9.0,584.0,170894.0,300.0,290.0,295.0,295.0,269.14286,270.26365,274.69177,246.96179,27.72998,24.62264,3.10734,87.33674
2013-07-27,9.0,584.0,170894.0,300.0,290.0,295.0,295.0,273.57143,273.56183,277.81611,250.52017,27.29594,25.1573,2.13864,87.33674
2013-07-28,4.0,90.0,26739.0,300.0,295.0,296.0,295.0,278.14286,276.55358,280.61363,253.88905,26.72458,25.47076,1.25382,87.42188
2013-07-29,21.0,1607.0,485681.0,306.0,296.0,304.0,296.0,282.78571,280.21311,284.21153,257.60097,26.61056,25.69872,0.91184,88.0943
2013-07-30,13.0,950.0,284681.0,310.0,298.0,305.0,304.0,286.92857,283.51802,287.40976,261.11201,26.29775,25.81852,0.47922,88.17725
2013-07-31,1.0,18.0,5526.0,307.0,305.0,307.0,305.0,289.71429,286.64895,290.42364,264.51112,25.91252,25.83732,0.0752,88.34775
2013-08-01,6.0,108.0,33189.0,310.0,304.0,304.0,307.0,292.28571,288.96243,292.51231,267.43622,25.07609,25.68508,-0.60899,86.38567
2013-08-02,6.0,108.0,33189.0,310.0,304.0,304.0,304.0,294.85714,290.96744,294.27965,270.14465,24.135,25.37506,-1.24006,86.38567
2013-08-03,6.0,108.0,33189.0,310.0,304.0,304.0,304.0,297.42857,292.70511,295.77509,272.65245,23.12263,24.92458,-1.80194,86.38567
