Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-09-26,8.0,80.0,22930.0,305.0,269.0,269.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-27,1.0,10.0,2640.0,269.0,264.0,264.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-28,6.0,60.0,15720.0,274.0,252.0,252.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-29,6.0,60.0,14220.0,252.0,227.0,227.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-30,6.0,60.0,12800.0,227.0,205.0,205.0,227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,6.0,60.0,12800.0,223.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-02,6.0,60.0,12800.0,223.0,205.0,205.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-03,5.0,90.0,17370.0,205.0,186.0,186.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-04,5.0,90.0,17370.0,195.0,186.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-05,6.0,120.0,18810.0,186.0,152.0,152.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-06,232.0,9180.0,1260600.0,152.0,137.0,138.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-07,474.0,15320.0,2125420.0,143.0,135.0,138.0,138.0,0.0,0.0,202.25,0.0,0.0,0.0,0.0,0.0
2010-10-08,474.0,15320.0,2125420.0,143.0,135.0,138.0,138.0,0.0,0.0,192.36538,0.0,0.0,0.0,0.0,0.0
2010-10-09,474.0,15320.0,2125420.0,143.0,135.0,138.0,138.0,193.07143,193.07143,184.00148,0.0,0.0,0.0,0.0,0.0
2010-10-10,304.0,10160.0,1453920.0,148.0,136.0,146.0,138.0,184.28571,186.79524,178.1551,0.0,0.0,0.0,0.0,5.32802
2010-10-11,241.0,10660.0,1626170.0,157.0,146.0,155.0,146.0,176.5,182.55587,174.59278,0.0,0.0,0.0,0.0,10.93362
2010-10-12,160.0,6830.0,1047080.0,158.0,150.0,155.0,155.0,169.57143,178.88176,171.5785,0.0,0.0,0.0,0.0,10.93362
2010-10-13,50.0,1510.0,230600.0,161.0,150.0,161.0,155.0,164.85714,176.49752,169.95104,0.0,0.0,0.0,0.0,14.64812
2010-10-14,50.0,1510.0,230600.0,161.0,150.0,161.0,161.0,161.71429,174.43119,168.57396,0.0,0.0,0.0,0.0,14.64812
2010-10-15,50.0,1510.0,230600.0,161.0,150.0,161.0,161.0,158.57143,172.64036,167.40873,0.0,0.0,0.0,0.0,14.64812
2010-10-16,50.0,1510.0,230600.0,161.0,150.0,161.0,161.0,155.42857,171.08831,166.42277,0.0,0.0,0.0,0.0,14.64812
2010-10-17,50.0,1510.0,230600.0,161.0,150.0,161.0,161.0,153.64286,169.7432,165.5885,0.0,0.0,0.0,0.0,14.64812
2010-10-18,50.0,1510.0,230600.0,161.0,150.0,161.0,161.0,151.85714,168.57744,164.88258,0.0,0.0,0.0,0.0,14.64812
2010-10-19,50.0,1510.0,230600.0,161.0,150.0,161.0,161.0,152.5,167.56712,164.28526,0.0,0.0,0.0,0.0,14.64812
2010-10-20,5.0,150.0,24150.0,161.0,161.0,161.0,161.0,154.14286,166.6915,163.77983,0.0,0.0,0.0,0.0,14.64812
2010-10-21,121.0,5160.0,788560.0,161.0,150.0,153.0,161.0,155.21429,164.86597,162.1214,176.92308,-14.80168,-2.96034,-11.84134,13.53605
2010-10-22,121.0,5160.0,788560.0,160.0,150.0,153.0,153.0,156.28571,163.28384,160.71811,175.151,-14.43289,-5.25485,-9.17804,13.53605
2010-10-23,121.0,5160.0,788560.0,160.0,150.0,153.0,153.0,157.35714,161.91266,159.5307,173.51018,-13.97948,-6.99977,-6.9797,13.53605
2010-10-24,96.0,3450.0,517370.0,153.0,147.0,152.0,153.0,157.78571,160.59097,158.37213,171.91684,-13.5447,-8.30876,-5.23594,13.38896
2010-10-25,158.0,5300.0,803040.0,153.0,149.0,153.0,152.0,157.64286,159.57884,157.54565,170.51559,-12.96994,-9.24099,-3.72894,14.36602
2010-10-26,107.0,4810.0,716340.0,153.0,147.0,149.0,153.0,157.21429,158.16833,156.23094,168.92184,-12.6909,-9.93098,-2.75993,13.71615
2010-10-27,139.0,4670.0,684960.0,149.0,144.0,147.0,149.0,156.21429,156.67922,154.81079,167.298,-12.48721,-10.44222,-2.04499,13.39795
2010-10-28,73.0,2860.0,413330.0,151.0,143.0,150.0,147.0,155.42857,155.78866,154.07067,166.01667,-11.946,-10.74298,-1.20302,16.45062
2010-10-29,73.0,2860.0,413330.0,151.0,143.0,150.0,150.0,154.64286,155.01684,153.44441,164.83025,-11.38583,-10.87155,-0.51429,16.45062
