Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2012-07-18,12.0,432.0,80604.0,193.0,169.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-19,42.0,5047.0,902535.0,189.0,172.0,189.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-07-20,42.0,5047.0,902535.0,189.0,173.0,189.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-07-21,42.0,5047.0,902535.0,189.0,173.0,189.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-07-22,24.0,1072.0,204703.0,195.0,189.0,190.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-07-23,12.0,2684.0,511710.0,194.0,189.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-07-24,37.0,2921.0,534391.0,192.0,180.0,192.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2012-07-25,58.0,5792.0,1052695.0,192.0,180.0,180.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73208
2012-07-26,30.0,1923.0,346170.0,183.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73208
2012-07-27,30.0,1923.0,346170.0,183.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73208
2012-07-28,30.0,1923.0,346170.0,183.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.73208
2012-07-29,1.0,69.0,12282.0,180.0,178.0,178.0,180.0,0.0,0.0,184.08333,0.0,0.0,0.0,0.0,94.91146
2012-07-30,10.0,1278.0,220054.0,180.0,169.0,180.0,178.0,0.0,0.0,183.45513,0.0,0.0,0.0,0.0,94.95686
2012-07-31,4.0,413.0,74232.0,180.0,177.0,180.0,180.0,183.5,183.5,182.92357,0.0,0.0,0.0,0.0,94.95686
2012-08-01,4.0,734.0,130796.0,180.0,177.0,180.0,180.0,184.07143,183.03333,182.47379,0.0,0.0,0.0,0.0,94.95686
2012-08-02,4.0,734.0,130796.0,180.0,177.0,180.0,180.0,183.42857,182.62889,182.09321,0.0,0.0,0.0,0.0,94.95686
2012-08-03,4.0,734.0,130796.0,180.0,177.0,180.0,180.0,182.78571,182.27837,181.77118,0.0,0.0,0.0,0.0,94.95686
2012-08-04,4.0,734.0,130796.0,180.0,177.0,180.0,180.0,182.14286,181.97459,181.49869,0.0,0.0,0.0,0.0,94.95686
2012-08-05,10.0,532.0,95646.0,183.0,178.0,179.0,180.0,181.35714,181.57798,181.11427,0.0,0.0,0.0,0.0,94.39267
2012-08-06,2.0,400.0,71393.0,179.0,176.0,176.0,179.0,180.35714,180.83425,180.32746,0.0,0.0,0.0,0.0,92.65848
2012-08-07,1.0,165.0,28710.0,176.0,174.0,174.0,176.0,179.07143,179.92301,179.35401,0.0,0.0,0.0,0.0,91.48199
