Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-15,52.0,2050.0,592310.0,293.0,285.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-16,52.0,2050.0,592310.0,293.0,285.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-17,52.0,2050.0,592310.0,293.0,285.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-18,52.0,2050.0,592310.0,293.0,285.0,290.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-19,4.0,160.0,46230.0,291.0,286.0,286.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-20,39.0,2430.0,704710.0,293.0,286.0,290.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.21951
2010-04-21,28.0,2140.0,603010.0,290.0,276.0,276.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.77026
2010-04-22,20.0,700.0,195290.0,287.0,275.0,287.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56145
2010-04-23,20.0,700.0,195290.0,287.0,275.0,287.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56145
2010-04-24,20.0,700.0,195290.0,287.0,275.0,287.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.56145
2010-04-25,11.0,600.0,169210.0,288.0,277.0,277.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.02438
2010-04-26,37.0,1430.0,392180.0,290.0,272.0,273.0,277.0,0.0,0.0,285.25,0.0,0.0,0.0,0.0,30.56754
2010-04-27,32.0,2560.0,677190.0,273.0,262.0,262.0,273.0,0.0,0.0,281.67308,0.0,0.0,0.0,0.0,23.63408
2010-04-28,12.0,620.0,164330.0,268.0,262.0,265.0,262.0,282.14286,282.14286,279.10799,0.0,0.0,0.0,0.0,28.29183
2010-04-29,16.0,590.0,158710.0,281.0,260.0,281.0,265.0,281.5,281.99048,279.39907,0.0,0.0,0.0,0.0,46.54858
2010-04-30,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,280.85714,281.85841,279.64536,0.0,0.0,0.0,0.0,46.54858
2010-05-01,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,280.21429,281.74396,279.85377,0.0,0.0,0.0,0.0,46.54858
2010-05-02,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,279.57143,281.64476,280.03011,0.0,0.0,0.0,0.0,46.54858
2010-05-03,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,279.21429,281.55879,280.17933,0.0,0.0,0.0,0.0,46.54858
2010-05-04,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,278.57143,281.48429,280.30558,0.0,0.0,0.0,0.0,46.54858
2010-05-05,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,278.92857,281.41972,280.41242,0.0,0.0,0.0,0.0,46.54858
2010-05-06,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,278.5,281.36375,280.50281,0.0,0.0,0.0,0.0,46.54858
2010-05-07,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,278.07143,281.31525,280.5793,0.0,0.0,0.0,0.0,46.54858
2010-05-08,16.0,590.0,158710.0,281.0,260.0,281.0,281.0,277.64286,281.27322,280.64403,0.0,0.0,0.0,0.0,46.54858
2010-05-09,50.0,1880.0,497730.0,286.0,253.0,255.0,281.0,276.07143,277.77012,276.69879,0.0,0.0,0.0,0.0,27.80831
2010-05-10,19.0,770.0,201930.0,273.0,255.0,273.0,255.0,276.07143,277.13411,276.12975,280.30769,-4.17795,-0.83559,-3.34236,44.15245
2010-05-11,13.0,590.0,162940.0,284.0,270.0,281.0,273.0,277.42857,277.64956,276.87902,280.35897,-3.47996,-1.36446,-2.11549,49.48908
2010-05-12,47.0,2750.0,797880.0,309.0,281.0,309.0,281.0,280.57143,281.82962,281.82071,282.48053,-0.65983,-1.22354,0.56371,62.61696
2010-05-13,43.0,3300.0,1039770.0,328.0,309.0,312.0,309.0,282.78571,285.85234,286.46367,284.66716,1.79652,-0.61953,2.41604,63.67895
2010-05-14,43.0,3300.0,1039770.0,328.0,310.0,312.0,312.0,285.0,289.33869,290.39234,286.69181,3.70053,0.24449,3.45604,63.67895
2010-05-15,43.0,3300.0,1039770.0,328.0,310.0,312.0,312.0,287.21429,292.3602,293.7166,288.56649,5.1501,1.22561,3.92449,63.67895
2010-05-16,28.0,1370.0,416520.0,313.0,290.0,290.0,312.0,287.85714,292.04551,293.14481,288.67268,4.47213,1.87491,2.59722,51.30577
2010-05-17,15.0,890.0,255690.0,295.0,277.0,295.0,290.0,288.85714,292.43944,293.43023,289.14137,4.28885,2.3577,1.93115,53.46359
2010-05-18,50.0,2450.0,737440.0,312.0,294.0,312.0,295.0,291.07143,295.04751,296.28711,290.8346,5.45251,2.97666,2.47585,59.82005
2010-05-19,22.0,1080.0,337140.0,318.0,306.0,315.0,312.0,293.5,297.70784,299.16602,292.62463,6.54139,3.68961,2.85178,60.81188
