Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-28,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0
2010-05-14,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0
2010-05-15,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0
2010-05-16,2.0,25.0,7525.0,301.0,301.0,301.0,301.0,301.0,301.0,301.0,0.0,0.0,0.0,0.0,0.0
2010-05-17,1.0,156.0,47892.0,307.0,301.0,307.0,301.0,301.42857,301.8,301.92308,0.0,0.0,0.0,0.0,100.0
2010-05-18,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,301.85714,302.49333,302.70414,0.0,0.0,0.0,0.0,100.0
2010-05-19,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,302.28571,303.09422,303.36504,0.0,0.0,0.0,0.0,100.0
2010-05-20,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,302.71429,303.61499,303.92427,0.0,0.0,0.0,0.0,100.0
2010-05-21,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,303.14286,304.06633,304.39746,0.0,0.0,0.0,0.0,100.0
2010-05-22,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,303.57143,304.45748,304.79785,0.0,0.0,0.0,0.0,100.0
2010-05-23,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,304.0,304.79649,305.13664,302.61538,2.52126,0.50425,2.017,100.0
2010-05-24,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,304.42857,305.09029,305.42331,302.94017,2.48314,0.90003,1.58311,100.0
2010-05-25,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,304.85714,305.34492,305.66588,303.2409,2.42498,1.20502,1.21996,100.0
2010-05-26,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,305.28571,305.56559,305.87113,303.51935,2.35178,1.43437,0.91741,100.0
2010-05-27,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,305.71429,305.75685,306.0448,303.77718,2.26762,1.60102,0.6666,100.0
2010-05-28,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,306.14286,305.9226,306.19175,304.0159,2.17585,1.71599,0.45986,100.0
2010-05-29,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,306.57143,306.06625,306.3161,304.23695,2.07915,1.78862,0.29053,100.0
2010-05-30,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.19075,306.42132,304.44162,1.9797,1.82684,0.15286,100.0
2010-05-31,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.29865,306.51034,304.63113,1.87922,1.83731,0.0419,100.0
2010-06-01,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.39217,306.58568,304.8066,1.77907,1.82566,-0.04659,100.0
2010-06-02,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.47321,306.64942,304.96907,1.68034,1.7966,-0.11626,100.0
2010-06-03,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.54345,306.70335,305.11951,1.58384,1.75405,-0.17021,100.0
2010-06-04,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.60432,306.74899,305.25881,1.49018,1.70127,-0.21109,100.0
2010-06-05,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.65708,306.78761,305.38779,1.39982,1.64098,-0.24116,100.0
2010-06-06,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.7028,306.82028,305.50721,1.31307,1.5754,-0.26233,100.0
2010-06-07,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.74243,306.84793,305.61779,1.23015,1.50635,-0.2762,100.0
2010-06-08,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.77677,306.87133,305.72017,1.15115,1.43531,-0.28416,100.0
2010-06-09,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.80654,306.89112,305.81497,1.07615,1.36348,-0.28733,100.0
2010-06-10,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.83233,306.90787,305.90275,1.00512,1.29181,-0.28669,100.0
2010-06-11,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.85469,306.92205,305.98403,0.93802,1.22105,-0.28303,100.0
2010-06-12,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.87406,306.93404,306.05929,0.87475,1.15179,-0.27704,100.0
2010-06-13,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.89085,306.94419,306.12897,0.81522,1.08447,-0.26926,100.0
2010-06-14,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.90541,306.95277,306.19349,0.75928,1.01944,-0.26015,100.0
2010-06-15,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.91802,306.96004,306.25323,0.70681,0.95691,-0.2501,100.0
2010-06-16,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.92895,306.96619,306.30855,0.65764,0.89706,-0.23942,100.0
2010-06-17,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.93842,306.97139,306.35977,0.61162,0.83997,-0.22835,100.0
2010-06-18,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.94663,306.97579,306.40719,0.5686,0.78569,-0.2171,100.0
2010-06-19,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.95375,306.97952,306.4511,0.52841,0.73424,-0.20583,100.0
2010-06-20,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.95992,306.98267,306.49176,0.4909,0.68557,-0.19467,100.0
2010-06-21,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.96526,306.98533,306.52941,0.45592,0.63964,-0.18372,100.0
2010-06-22,1.0,156.0,47892.0,307.0,307.0,307.0,307.0,307.0,306.96989,306.98759,306.56427,0.42332,0.59638,-0.17306,100.0
