Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-06-13,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-14,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-15,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-16,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-17,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-18,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-19,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-20,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-21,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-22,5.0,175.0,70000.0,400.0,400.0,400.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-23,5.0,75.0,29625.0,400.0,395.0,395.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-24,5.0,75.0,29625.0,395.0,395.0,395.0,395.0,0.0,0.0,399.16667,0.0,0.0,0.0,0.0,0.0
2010-06-25,5.0,75.0,29625.0,395.0,395.0,395.0,395.0,0.0,0.0,398.52564,0.0,0.0,0.0,0.0,0.0
2010-06-26,5.0,75.0,29625.0,395.0,395.0,395.0,395.0,398.57143,398.57143,397.98323,0.0,0.0,0.0,0.0,0.0
2010-06-27,5.0,75.0,29625.0,395.0,395.0,395.0,395.0,398.21429,398.09524,397.52428,0.0,0.0,0.0,0.0,0.0
2010-06-28,5.0,75.0,29625.0,395.0,395.0,395.0,395.0,397.85714,397.68254,397.13593,0.0,0.0,0.0,0.0,0.0
2010-06-29,13.0,455.0,182000.0,400.0,395.0,400.0,395.0,397.85714,397.99153,397.57655,0.0,0.0,0.0,0.0,57.2667
2010-06-30,1.0,34.0,13328.0,400.0,392.0,392.0,400.0,397.28571,397.19266,396.71862,0.0,0.0,0.0,0.0,29.18672
2010-07-01,1.0,35.0,13720.0,392.0,392.0,392.0,392.0,396.71429,396.50031,395.99268,0.0,0.0,0.0,0.0,29.18672
2010-07-02,1.0,35.0,13720.0,392.0,392.0,392.0,392.0,396.14286,395.90027,395.37842,0.0,0.0,0.0,0.0,29.18672
2010-07-03,1.0,35.0,13720.0,392.0,392.0,392.0,392.0,395.57143,395.38023,394.85866,0.0,0.0,0.0,0.0,29.18672
2010-07-04,7.0,245.0,96670.0,395.0,392.0,395.0,392.0,395.21429,395.32953,394.88041,0.0,0.0,0.0,0.0,42.12251
2010-07-05,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.85714,395.2856,394.89881,0.0,0.0,0.0,0.0,42.12251
2010-07-06,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.5,395.24752,394.91437,0.0,0.0,0.0,0.0,42.12251
2010-07-07,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.5,395.21451,394.92755,0.0,0.0,0.0,0.0,42.12251
2010-07-08,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.5,395.18591,394.93869,396.65385,-1.71515,-0.34303,-1.37212,42.12251
2010-07-09,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.5,395.16112,394.94813,396.53134,-1.58321,-0.59107,-0.99215,42.12251
2010-07-10,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.5,395.13964,394.95611,396.41791,-1.4618,-0.76521,-0.69659,42.12251
2010-07-11,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.5,395.12102,394.96286,396.31288,-1.35002,-0.88217,-0.46784,42.12251
2010-07-12,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.5,395.10489,394.96857,396.21563,-1.24705,-0.95515,-0.2919,42.12251
2010-07-13,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.14286,395.0909,394.97341,396.12558,-1.15217,-0.99455,-0.15762,42.12251
2010-07-14,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.35714,395.07878,394.9775,396.0422,-1.0647,-1.00858,-0.05612,42.12251
2010-07-15,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.57143,395.06828,394.98096,395.965,-0.98404,-1.00368,0.01963,42.12251
2010-07-16,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,394.78571,395.05917,394.98389,395.89352,-0.90963,-0.98487,0.07524,42.12251
2010-07-17,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,395.0,395.05128,394.98637,395.82733,-0.84097,-0.95609,0.11512,42.12251
2010-07-18,7.0,245.0,96670.0,395.0,392.0,395.0,395.0,395.0,395.04445,394.98847,395.76605,-0.77759,-0.92039,0.1428,42.12251
2010-07-19,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.03852,394.99024,395.70931,-0.71907,-0.88012,0.16106,42.12251
2010-07-20,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.03338,394.99174,395.65677,-0.66502,-0.8371,0.17208,42.12251
2010-07-21,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.02893,394.99301,395.60812,-0.6151,-0.7927,0.1776,42.12251
2010-07-22,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.02507,394.99409,395.56307,-0.56898,-0.74796,0.17898,42.12251
2010-07-23,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.02173,394.995,395.52136,-0.52636,-0.70364,0.17728,42.12251
2010-07-24,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.01883,394.99577,395.48274,-0.48698,-0.66031,0.17333,42.12251
2010-07-25,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.01632,394.99642,395.44698,-0.45057,-0.61836,0.16779,42.12251
2010-07-26,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.01415,394.99697,395.41387,-0.4169,-0.57807,0.16116,42.12251
2010-07-27,2.0,144.0,56740.0,395.0,388.0,395.0,395.0,395.0,395.01226,394.99744,395.38322,-0.38578,-0.53961,0.15383,42.12251
