Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2013-09-19,1.0,590.0,47200.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-20,1.0,590.0,47200.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-21,1.0,590.0,47200.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-22,1.0,590.0,47200.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-23,1.0,590.0,47200.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-24,1.0,590.0,47200.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-25,1.0,590.0,47200.0,80.0,80.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-26,2.0,3328.0,259594.0,80.0,78.0,78.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-27,2.0,3328.0,259594.0,79.0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-28,2.0,3328.0,259594.0,79.0,78.0,78.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-29,1.0,100.0,7700.0,78.0,77.0,77.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-09-30,1.0,100.0,7700.0,77.0,77.0,77.0,77.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,1.0,100.0,7700.0,77.0,77.0,77.0,77.0,0.0,0.0,78.69231,0.0,0.0,0.0,0.0,0.0
