Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-03-16,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-17,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-18,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-19,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-20,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-21,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-22,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-23,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-24,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-25,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-26,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-27,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0
2011-03-28,14.0,280.0,93240.0,333.0,333.0,333.0,333.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0
2011-03-29,5.0,60.0,18780.0,333.0,303.0,303.0,333.0,330.85714,330.85714,328.38462,0.0,0.0,0.0,0.0,0.0
2011-03-30,4.0,40.0,11580.0,303.0,282.0,282.0,303.0,327.21429,324.34286,321.24852,0.0,0.0,0.0,0.0,0.0
2011-03-31,3.0,30.0,8160.0,282.0,267.0,267.0,282.0,322.5,316.69714,312.90259,0.0,0.0,0.0,0.0,0.0
2011-04-01,3.0,30.0,8160.0,277.0,267.0,267.0,267.0,317.78571,310.07086,305.84066,0.0,0.0,0.0,0.0,0.0
2011-04-02,3.0,30.0,8160.0,277.0,267.0,267.0,267.0,313.07143,304.32808,299.86517,0.0,0.0,0.0,0.0,0.0
2011-04-03,3.0,30.0,8160.0,277.0,267.0,267.0,267.0,308.35714,299.351,294.80899,0.0,0.0,0.0,0.0,0.0
2011-04-04,3.0,30.0,7710.0,267.0,252.0,252.0,267.0,302.57143,293.03753,288.22299,0.0,0.0,0.0,0.0,0.0
2011-04-05,46.0,520.0,120520.0,252.0,231.0,231.0,252.0,295.28571,284.76586,279.41946,0.0,0.0,0.0,0.0,0.0
2011-04-06,5.0,50.0,10950.0,231.0,211.0,211.0,231.0,286.57143,274.93041,268.89339,0.0,0.0,0.0,0.0,0.0
2011-04-07,10.0,100.0,20100.0,211.0,201.0,201.0,211.0,277.14286,265.07303,258.44825,0.0,0.0,0.0,0.0,0.0
2011-04-08,10.0,100.0,20100.0,201.0,201.0,201.0,201.0,267.71429,256.52996,249.61006,0.0,0.0,0.0,0.0,0.0
2011-04-09,10.0,100.0,20100.0,201.0,201.0,201.0,201.0,258.28571,249.12596,242.13159,0.0,0.0,0.0,0.0,0.0
