Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-28,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-09,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0
2010-05-10,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,0.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0
2010-05-11,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0
2010-05-12,3.0,84.0,31752.0,378.0,378.0,378.0,378.0,378.0,378.0,378.0,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,38.0,14630.0,385.0,378.0,385.0,378.0,378.5,378.93333,379.07692,0.0,0.0,0.0,0.0,100.0
