Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-27,4.0,78.0,16026.0,207.0,203.0,203.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,24.0,4776.0,203.0,199.0,199.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,199.33333,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,0.0,0.0,199.28205,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,199.28571,199.28571,199.23866,0.0,0.0,0.0,0.0,0.0
2010-05-11,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,199.0,199.24762,199.20194,0.0,0.0,0.0,0.0,0.0
2010-05-12,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,199.0,199.2146,199.17087,0.0,0.0,0.0,0.0,0.0
2010-05-13,1.0,24.0,4776.0,199.0,199.0,199.0,199.0,199.0,199.18599,199.14459,0.0,0.0,0.0,0.0,0.0
