Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-05-18,1.0,30.0,124500.0,4150.0,4150.0,4150.0,4150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-19,1.0,30.0,124500.0,4150.0,4150.0,4150.0,4150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-20,1.0,30.0,124500.0,4150.0,4150.0,4150.0,4150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-21,1.0,30.0,124500.0,4150.0,4150.0,4150.0,4150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-22,1.0,30.0,124500.0,4150.0,4150.0,4150.0,4150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-23,1.0,30.0,122040.0,4150.0,4068.0,4068.0,4150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-24,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-25,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-26,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-27,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-28,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-29,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,0.0,0.0,4102.16667,0.0,0.0,0.0,0.0,0.0
2010-05-30,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,0.0,0.0,4096.91026,0.0,0.0,0.0,0.0,0.0
2010-05-31,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4097.28571,4097.28571,4092.46252,0.0,0.0,0.0,0.0,0.0
2010-06-01,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4091.42857,4093.38095,4088.69906,0.0,0.0,0.0,0.0,0.0
2010-06-02,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4085.57143,4089.99683,4085.51459,0.0,0.0,0.0,0.0,0.0
2010-06-03,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4079.71429,4087.06392,4082.82004,0.0,0.0,0.0,0.0,0.0
2010-06-04,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4073.85714,4084.52206,4080.54003,0.0,0.0,0.0,0.0,0.0
2010-06-05,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4068.0,4082.31912,4078.6108,0.0,0.0,0.0,0.0,0.0
2010-06-06,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4068.0,4080.4099,4076.97837,0.0,0.0,0.0,0.0,0.0
2010-06-07,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4068.0,4078.75525,4075.59708,0.0,0.0,0.0,0.0,0.0
2010-06-08,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4068.0,4077.32122,4074.4283,0.0,0.0,0.0,0.0,0.0
2010-06-09,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4068.0,4076.07839,4073.43933,0.0,0.0,0.0,0.0,0.0
2010-06-10,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4068.0,4075.00127,4072.60251,0.0,0.0,0.0,0.0,0.0
2010-06-11,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4068.0,4074.06777,4071.89443,0.0,0.0,0.0,0.0,0.0
2010-06-12,1.0,30.0,122040.0,4068.0,4068.0,4068.0,4068.0,4068.0,4073.25873,4071.29529,4083.76923,-12.47394,-2.49479,-9.97915,0.0
