Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-11-09,1.0,10.0,3120.0,312.0,312.0,312.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-10,14.0,168.0,56974.0,343.0,312.0,343.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-11,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-12,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-13,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-14,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-15,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-16,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-17,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-18,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-19,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-11-20,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,340.41667,0.0,0.0,0.0,0.0,100.0
2015-11-21,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,0.0,0.0,340.8141,0.0,0.0,0.0,0.0,100.0
2015-11-22,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,340.78571,340.78571,341.15039,0.0,0.0,0.0,0.0,100.0
2015-11-23,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,343.0,341.08095,341.43495,0.0,0.0,0.0,0.0,100.0
2015-11-24,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,343.0,341.33683,341.67573,0.0,0.0,0.0,0.0,100.0
2015-11-25,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,343.0,341.55858,341.87946,0.0,0.0,0.0,0.0,100.0
2015-11-26,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,343.0,341.75077,342.05185,0.0,0.0,0.0,0.0,100.0
2015-11-27,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,343.0,341.91733,342.19772,0.0,0.0,0.0,0.0,100.0
2015-11-28,14.0,168.0,56974.0,343.0,318.0,343.0,343.0,343.0,342.06169,342.32115,0.0,0.0,0.0,0.0,100.0
2015-11-29,5.0,50.0,18110.0,376.0,343.0,376.0,343.0,345.35714,346.5868,347.50251,0.0,0.0,0.0,0.0,100.0
2015-11-30,1.0,10.0,3830.0,383.0,376.0,383.0,376.0,348.21429,351.44189,352.96366,0.0,0.0,0.0,0.0,100.0
2015-12-01,3.0,30.0,11910.0,404.0,383.0,404.0,383.0,352.57143,358.44964,360.81541,0.0,0.0,0.0,0.0,100.0
2015-12-02,2.0,20.0,8320.0,420.0,404.0,420.0,404.0,358.07143,366.65635,369.92073,0.0,0.0,0.0,0.0,100.0
2015-12-03,2.0,28.0,12128.0,436.0,420.0,436.0,420.0,364.71429,375.90217,380.08677,0.0,0.0,0.0,0.0,100.0
2015-12-04,2.0,28.0,12128.0,436.0,428.0,436.0,436.0,371.35714,383.91522,388.68881,357.07692,31.61188,6.32238,25.28951,100.0
2015-12-05,2.0,28.0,12128.0,436.0,428.0,436.0,436.0,378.0,390.85985,395.96745,362.92308,33.04437,11.66678,21.3776,100.0
2015-12-06,2.0,28.0,12128.0,436.0,428.0,436.0,436.0,384.64286,396.87854,402.1263,368.33618,33.79012,16.09145,17.69868,100.0
2015-12-07,5.0,76.0,35397.0,479.0,436.0,479.0,436.0,394.35714,407.82807,413.95303,376.5335,37.41952,20.35706,17.06246,100.0
2015-12-08,29.0,319.0,167374.0,526.0,479.0,526.0,479.0,407.42857,423.58433,431.19102,387.60509,43.58593,25.00283,18.58309,100.0
2015-12-09,13.0,130.0,74070.0,578.0,526.0,578.0,526.0,424.21429,444.17308,453.77702,401.70842,52.0686,30.41599,21.65261,100.0
2015-12-10,5.0,92.0,56723.0,635.0,578.0,635.0,578.0,445.07143,469.61667,481.65748,418.98928,62.6682,36.86643,25.80177,100.0
2015-12-11,5.0,92.0,56723.0,635.0,589.0,635.0,635.0,465.92857,491.66778,505.24864,434.99007,70.25856,43.54486,26.71371,100.0
2015-12-12,5.0,92.0,56723.0,635.0,589.0,635.0,635.0,486.78571,510.77874,525.21038,449.80562,75.40476,49.91684,25.48792,100.0
2015-12-13,5.0,50.0,33610.0,698.0,635.0,698.0,635.0,509.78571,535.74158,551.7934,468.19039,83.60301,56.65407,26.94894,100.0
2015-12-14,6.0,85.0,62913.0,767.0,698.0,767.0,698.0,537.21429,566.57603,584.90211,490.32444,94.57767,64.23879,30.33888,100.0
2015-12-15,38.0,648.0,544734.0,843.0,767.0,843.0,767.0,568.57143,603.43256,624.60948,516.44855,108.16092,73.02322,35.13771,100.0
2015-12-16,296.0,4082.0,3758702.0,927.0,843.0,927.0,843.0,604.78571,646.57489,671.1311,546.85977,124.27132,83.27284,40.99849,100.0
2015-12-17,730.0,11089.0,11244886.0,1019.0,927.0,1019.0,927.0,646.42857,696.23157,724.64939,581.83312,142.81627,95.18153,47.63474,100.0
2015-12-18,730.0,11089.0,11244886.0,1019.0,945.0,1019.0,1019.0,688.07143,739.26736,769.9341,614.21585,155.71825,107.28887,48.42938,100.0
2015-12-19,730.0,11089.0,11244886.0,1019.0,945.0,1019.0,1019.0,729.71429,776.56505,808.25193,644.19986,164.05207,118.64151,45.41056,100.0
2015-12-20,1156.0,16297.0,16358504.0,1044.0,967.0,980.0,1019.0,768.57143,803.68971,834.67471,669.07395,165.60076,128.03336,37.5674,93.35215
2015-12-21,620.0,7937.0,7457761.0,985.0,900.0,951.0,980.0,802.28571,823.33108,852.57091,689.95736,162.61355,134.9494,27.66415,88.74585
2015-12-22,511.0,6941.0,6883939.0,1020.0,951.0,1020.0,951.0,837.57143,849.5536,878.32923,714.40496,163.92427,140.74437,23.1799,89.98093
2015-12-23,571.0,9042.0,9389896.0,1075.0,1000.0,1050.0,1020.0,871.28571,876.27979,904.74012,739.26385,165.47626,145.69075,19.78551,90.45895
2015-12-24,473.0,7798.0,8682538.0,1155.0,1029.0,1155.0,1050.0,908.42857,913.44248,943.24164,770.05912,173.18251,151.1891,21.99341,91.88228
2015-12-25,473.0,7798.0,8682538.0,1155.0,1029.0,1155.0,1155.0,945.57143,945.65015,975.81985,798.57326,177.24658,156.4006,20.84599,91.88228
2015-12-26,473.0,7798.0,8682538.0,1155.0,1029.0,1155.0,1155.0,982.71429,973.56347,1003.38602,824.97524,178.41078,160.80264,17.60815,91.88228
2015-12-27,315.0,8188.0,9417372.0,1178.0,1110.0,1161.0,1155.0,1015.78571,998.555,1027.63433,849.86597,177.76836,164.19578,13.57258,91.9616
