Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2011-03-15,7.0,140.0,46200.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-16,7.0,140.0,46200.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-17,7.0,140.0,46200.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-18,7.0,140.0,46200.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-19,7.0,140.0,46200.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-20,7.0,140.0,46200.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-21,7.0,140.0,46200.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-22,7.0,140.0,46200.0,330.0,330.0,330.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-23,1.0,20.0,6480.0,330.0,324.0,324.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-24,3.0,30.0,9060.0,324.0,296.0,296.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-25,3.0,30.0,9060.0,308.0,296.0,296.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-26,3.0,30.0,9060.0,308.0,296.0,296.0,296.0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0
2011-03-27,39.0,640.0,172580.0,296.0,267.0,267.0,296.0,0.0,0.0,312.69231,0.0,0.0,0.0,0.0,0.0
2011-03-28,174.0,1850.0,469900.0,267.0,254.0,254.0,267.0,312.35714,312.35714,303.66272,0.0,0.0,0.0,0.0,0.0
2011-03-29,11.0,130.0,30050.0,254.0,229.0,229.0,254.0,305.14286,301.24286,292.17615,0.0,0.0,0.0,0.0,0.0
2011-03-30,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,297.92857,291.61048,282.45674,0.0,0.0,0.0,0.0,0.0
2011-03-31,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,290.71429,283.26241,274.23263,0.0,0.0,0.0,0.0,0.0
2011-04-01,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,283.5,276.02742,267.27376,0.0,0.0,0.0,0.0,0.0
2011-04-02,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,276.28571,269.7571,261.38549,0.0,0.0,0.0,0.0,0.0
2011-04-03,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,269.07143,264.32282,256.40311,0.0,0.0,0.0,0.0,0.0
2011-04-04,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,261.85714,259.61311,252.18724,0.0,0.0,0.0,0.0,0.0
2011-04-05,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,254.64286,255.53136,248.61998,0.0,0.0,0.0,0.0,0.0
2011-04-06,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,247.85714,251.99385,245.60152,0.0,0.0,0.0,0.0,0.0
2011-04-07,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,243.07143,248.928,243.04744,0.0,0.0,0.0,0.0,0.0
2011-04-08,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,238.28571,246.27093,240.88629,0.0,0.0,0.0,0.0,0.0
2011-04-09,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,233.5,243.96814,239.05763,273.88462,-34.82698,-6.9654,-27.86159,0.0
2011-04-10,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,230.78571,241.97239,237.51031,270.55983,-33.04952,-12.18222,-20.8673,0.0
2011-04-11,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,240.24274,236.20103,267.48132,-31.2803,-16.00184,-15.27846,0.0
2011-04-12,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,238.74371,235.09318,264.63085,-29.53768,-18.709,-10.82867,0.0
2011-04-13,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,237.44455,234.15577,261.99153,-27.83577,-20.53436,-7.30141,0.0
2011-04-14,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,236.31861,233.36257,259.54772,-26.18514,-21.66451,-4.52063,0.0
2011-04-15,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,235.34279,232.69141,257.28492,-24.59352,-22.25031,-2.3432,0.0
2011-04-16,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,234.49709,232.1235,255.18974,-23.06624,-22.4135,-0.65274,0.0
2011-04-17,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,233.76414,231.64296,253.24976,-21.6068,-22.25216,0.64536,0.0
2011-04-18,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,233.12892,231.23635,251.45348,-20.21713,-21.84516,1.62802,0.0
2011-04-19,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,232.5784,230.8923,249.79026,-18.89797,-21.25572,2.35775,0.0
2011-04-20,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,232.10128,230.60117,248.25024,-17.64907,-20.53439,2.88532,0.0
2011-04-21,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,231.68778,230.35484,246.8243,-16.46946,-19.7214,3.25194,0.0
2011-04-22,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,231.32941,230.1464,245.50398,-15.35758,-18.84864,3.49106,0.0
2011-04-23,11.0,130.0,30050.0,242.0,229.0,229.0,229.0,229.0,231.01882,229.97003,244.28146,-14.31143,-17.9412,3.62977,0.0
