Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2010-04-20,3.0,70.0,13990.0,203.0,196.0,196.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-21,1.0,100.0,19300.0,196.0,193.0,193.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-22,1.0,30.0,5700.0,193.0,190.0,190.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-23,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-24,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-25,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-26,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-27,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-28,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-29,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-30,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,190.75,0.0,0.0,0.0,0.0,0.0
2010-05-02,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,0.0,0.0,190.63462,0.0,0.0,0.0,0.0,0.0
2010-05-03,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,190.64286,190.64286,190.53698,0.0,0.0,0.0,0.0,0.0
2010-05-04,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,190.21429,190.55714,190.45437,0.0,0.0,0.0,0.0,0.0
2010-05-05,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,190.0,190.48286,190.38447,0.0,0.0,0.0,0.0,0.0
2010-05-06,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,190.0,190.41848,190.32532,0.0,0.0,0.0,0.0,0.0
2010-05-07,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,190.0,190.36268,190.27527,0.0,0.0,0.0,0.0,0.0
2010-05-08,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,190.0,190.31432,190.23292,0.0,0.0,0.0,0.0,0.0
2010-05-09,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,190.0,190.27241,190.19709,0.0,0.0,0.0,0.0,0.0
2010-05-10,1.0,30.0,5700.0,190.0,190.0,190.0,190.0,190.0,190.23609,190.16677,0.0,0.0,0.0,0.0,0.0
2010-05-11,4.0,312.0,57108.0,190.0,178.0,178.0,190.0,189.14286,188.60461,188.29496,0.0,0.0,0.0,0.0,0.0
2010-05-12,4.0,338.0,58826.0,178.0,172.0,172.0,178.0,187.85714,186.39066,185.78804,0.0,0.0,0.0,0.0,0.0
2010-05-13,4.0,816.0,138660.0,175.0,169.0,169.0,172.0,186.35714,184.07191,183.20526,0.0,0.0,0.0,0.0,0.0
2010-05-14,4.0,816.0,138660.0,175.0,169.0,169.0,169.0,184.85714,182.06232,181.01984,0.0,0.0,0.0,0.0,0.0
2010-05-15,4.0,816.0,138660.0,175.0,169.0,169.0,169.0,183.35714,180.32068,179.17063,186.76923,-7.5986,-1.51972,-6.07888,0.0
2010-05-16,4.0,283.0,46633.0,169.0,160.0,160.0,169.0,181.21429,177.61125,176.2213,184.78632,-8.56502,-2.92878,-5.63624,0.0
2010-05-17,5.0,900.0,135900.0,160.0,148.0,148.0,160.0,178.21429,173.66309,171.87957,182.06141,-10.18185,-4.37939,-5.80245,0.0
2010-05-18,5.0,900.0,135900.0,157.0,148.0,148.0,148.0,175.21429,170.24134,168.20579,179.53834,-11.33256,-5.77003,-5.56253,0.0
2010-05-19,1.0,80.0,12000.0,150.0,148.0,150.0,148.0,172.35714,167.5425,165.4049,177.35032,-11.94542,-7.00511,-4.94032,3.83449
2010-05-20,1.0,80.0,12000.0,150.0,150.0,150.0,150.0,169.5,165.2035,163.03491,175.32437,-12.28946,-8.06198,-4.22748,3.83449
