Date,Total Transactions,Traded Shares,TotalTraded Amount,Maximum Price,Minimum Price,Closing Price,Opening Price,SMA,EMA,ema_12,ema_26,macd_12_26_9,signal_12_26_9,hist_12_26_9,RSI_21
2015-12-10,8.0,80.0,30810.0,399.0,363.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-11,8.0,80.0,30810.0,399.0,363.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-12,8.0,80.0,30810.0,399.0,363.0,399.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-13,56.0,650.0,281740.0,438.0,399.0,438.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-14,56.0,650.0,281740.0,438.0,406.0,438.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-15,3.0,30.0,13630.0,463.0,438.0,463.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-16,3.0,30.0,13630.0,463.0,446.0,463.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-17,2.0,20.0,9530.0,481.0,463.0,481.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-18,2.0,20.0,9530.0,481.0,472.0,481.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-19,2.0,20.0,9530.0,481.0,472.0,481.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-20,2.0,20.0,9530.0,481.0,472.0,481.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2015-12-21,3.0,30.0,14880.0,499.0,481.0,499.0,481.0,0.0,0.0,451.83333,0.0,0.0,0.0,0.0,100.0
2015-12-22,2.0,20.0,10260.0,518.0,499.0,518.0,499.0,0.0,0.0,462.01282,0.0,0.0,0.0,0.0,100.0
2015-12-23,4.0,40.0,21720.0,558.0,518.0,558.0,518.0,464.14286,464.14286,476.78008,0.0,0.0,0.0,0.0,100.0
2015-12-24,1.0,10.0,5690.0,569.0,558.0,569.0,558.0,476.28571,478.12381,490.96776,0.0,0.0,0.0,0.0,100.0
2015-12-25,1.0,10.0,5690.0,569.0,569.0,569.0,569.0,488.42857,490.24063,502.97272,0.0,0.0,0.0,0.0,100.0
2015-12-26,1.0,10.0,5690.0,569.0,569.0,569.0,569.0,500.57143,500.74188,513.13076,0.0,0.0,0.0,0.0,100.0
2015-12-27,36.0,360.0,224220.0,625.0,569.0,625.0,569.0,513.92857,517.30963,530.34141,0.0,0.0,0.0,0.0,100.0
2015-12-28,36.0,360.0,224220.0,625.0,597.0,625.0,625.0,527.28571,531.66835,544.90427,0.0,0.0,0.0,0.0,100.0
2015-12-29,19.0,190.0,129680.0,687.0,625.0,687.0,625.0,543.28571,552.37924,566.76515,0.0,0.0,0.0,0.0,100.0
2015-12-30,19.0,190.0,129680.0,687.0,656.0,687.0,687.0,559.28571,570.32867,585.26282,0.0,0.0,0.0,0.0,100.0
2015-12-31,19.0,190.0,129680.0,687.0,656.0,687.0,687.0,574.0,585.88485,600.9147,0.0,0.0,0.0,0.0,100.0
2016-01-01,19.0,190.0,129680.0,687.0,656.0,687.0,687.0,588.71429,599.36687,614.15859,0.0,0.0,0.0,0.0,100.0
2016-01-02,19.0,190.0,129680.0,687.0,656.0,687.0,687.0,603.42857,611.05129,625.36496,0.0,0.0,0.0,0.0,100.0
2016-01-03,2.0,20.0,11790.0,687.0,584.0,595.0,687.0,611.57143,608.91111,620.69343,0.0,0.0,0.0,0.0,64.93744
2016-01-04,2.0,20.0,11790.0,595.0,584.0,595.0,595.0,618.42857,607.0563,616.74059,541.53846,75.20213,15.04043,60.16171,64.93744
2016-01-05,2.0,20.0,11790.0,595.0,584.0,595.0,595.0,623.92857,605.44879,613.39589,545.49858,67.89731,25.6118,42.28551,64.93744
2016-01-06,2.0,20.0,11790.0,595.0,584.0,595.0,595.0,626.57143,604.05562,610.56575,549.16535,61.4004,32.76952,28.63088,64.93744
